id,was_married,children,salary,sex,age,profession,home_cost,drive_info,happyness
222,1,1.0,12954480.483709475,1,9.0,Marketing,10066347.039046057,1.0,0.5095357301561262
223,1,4.0,39311587.87730359,1,82.0,Engineer,10120690.69143533,,0.7180206865151814
224,1,0.0,26889516.56647126,1,3.0,Executive,10180618.20379478,,0.2839624791126212
225,1,3.0,2248390.9696586663,0,21.0,Homemaker,9943756.165074283,,0.4899831462523812
226,1,9.0,120284247.57258996,1,100.0,Artist,10277614.491394795,0.0,0.5058733449160202
227,1,9.0,103011167.81534883,1,99.0,Artist,10382466.567147836,,0.5164360637667245
228,1,4.0,43053025.55540826,1,81.0,Engineer,10216972.029184956,1.0,0.6883259405365874
229,1,0.0,2909233.021552682,0,17.0,Healthcare,10091118.846704455,1.0,0.2565721337886564
230,1,4.0,35703754.8164175,1,82.0,Engineer,10127558.736415362,1.0,0.4933905021706338
231,1,0.0,2774326.4338831063,0,17.0,Healthcare,10049722.282840991,,0.4604283646846502
232,0,1.0,160612990.46134186,0,11.0,Lawyer,10225787.548968684,1.0,0.2919074612691305
233,1,1.0,13891884.970709449,1,9.0,Marketing,9965820.370473685,1.0,0.5791231575454944
234,1,3.0,2353153.741103547,0,20.0,Homemaker,10070198.185303263,1.0,0.4522387453813795
235,1,6.0,236936917.1731046,1,14.0,Entertainment,10239258.41614001,,0.418491236985604
236,1,9.0,160893627.64419678,1,99.0,Artist,10190261.473779531,,0.701194314693017
237,1,4.0,34068352.87279567,1,81.0,Engineer,9947734.290290607,,0.423957804043737
238,1,9.0,125118675.5786062,1,100.0,Artist,10161892.775834458,0.0,0.6699815384678537
239,1,0.0,30304366.062384132,1,3.0,Executive,10201860.686464282,1.0,0.4954511987076632
240,1,0.0,42891994.846802115,1,3.0,Executive,10039219.516244698,,0.5339524450625426
241,1,2.0,209126893.05635446,1,32.0,Doctor,10309128.260531506,1.0,0.595244527535311
242,1,0.0,3281642.25745937,0,17.0,Healthcare,10110977.328657083,,0.4975984886877796
243,0,1.0,121918828.74777347,0,10.0,Lawyer,10307553.349244244,,0.3390475039701919
244,1,9.0,174982913.62000585,1,99.0,Artist,10437164.192198915,,0.4482302782595083
245,1,6.0,166933855.1223149,1,14.0,Entertainment,10161968.333874147,,0.6411664241041675
246,1,1.0,14650350.83533693,1,9.0,Marketing,10240099.110015923,,0.279560245208119
247,1,0.0,36247894.59127991,1,3.0,Executive,10217106.242311466,1.0,0.2376873257870093
248,1,0.0,40360927.50206739,1,3.0,Executive,10175487.903361894,1.0,0.4817129232306719
249,1,0.0,3352011.278517206,0,17.0,Healthcare,10194502.864885522,,0.2316940846656327
250,1,3.0,2243135.5583370533,0,20.0,Homemaker,10011540.452791823,1.0,0.2056664724228726
251,1,4.0,37710757.303930216,1,82.0,Engineer,10305669.962899528,,0.6021500118276343
252,1,2.0,181195665.4334218,1,32.0,Doctor,10292122.82247538,,0.3477283774968123
253,1,0.0,32266182.384583745,1,3.0,Executive,10115163.76901156,,0.4073862591784835
254,1,0.0,28119347.78413778,1,3.0,Executive,10176549.728030097,,0.4426599875488022
255,0,2.0,171343718.37425283,1,32.0,Doctor,10153674.138895275,,0.4637705204994061
256,0,2.0,194898189.8381702,1,32.0,Doctor,10264395.970682329,1.0,0.4229704724221278
257,1,3.0,2496736.481405343,0,21.0,Homemaker,10009980.077708377,,0.3881542982033168
258,1,9.0,134381553.03883225,1,100.0,Artist,10220125.522755343,1.0,0.731207398669737
259,1,1.0,8476169.936751517,1,9.0,Marketing,10250642.138555562,,0.376943938241855
260,1,1.0,17680593.25282662,1,9.0,Marketing,10207125.23025848,,0.5822728916243782
261,1,0.0,3457207.7422406822,0,17.0,Healthcare,10110765.73318353,,0.3751030444618598
262,1,9.0,140069016.2684252,1,99.0,Artist,10180216.595299322,1.0,0.67743520299795
263,1,9.0,92898341.11576962,1,99.0,Artist,10313786.33960228,0.0,0.8718721881814191
264,1,9.0,123807275.46624771,1,99.0,Artist,10221583.218789935,1.0,0.8104061779401341
265,0,1.0,199590369.20034775,0,11.0,Lawyer,10179224.21680123,0.0,0.1673106130552163
266,0,1.0,147146348.98353007,0,11.0,Lawyer,10183990.847150806,,0.5707837410901709
267,1,3.0,2449763.673432169,0,21.0,Homemaker,10143137.598852016,1.0,0.5271614519838207
268,1,9.0,115584240.88811089,1,99.0,Artist,10179711.29274606,,0.6480353579998817
269,1,3.0,2496173.7809325806,0,21.0,Homemaker,10092497.27157379,,0.2559650746522474
270,1,0.0,3211874.5793586965,0,18.0,Healthcare,10129828.432811003,1.0,0.2564365240130469
271,1,3.0,2241331.6729651093,0,21.0,Homemaker,10210404.533298358,,0.3023780228844092
272,1,4.0,30384389.588728853,1,82.0,Engineer,10017297.595754543,,0.5642486371891658
273,1,3.0,2546556.5061097047,0,21.0,Homemaker,10081530.733111689,,0.248611284281084
274,1,3.0,2179244.321500506,0,21.0,Homemaker,10049856.612160152,1.0,0.6502874388014295
275,1,3.0,2180148.380822993,0,21.0,Homemaker,10026258.086640384,1.0,0.3928234403072622
276,0,1.0,161616446.72490585,0,10.0,Lawyer,10295759.987709712,1.0,0.2883632620152591
277,1,1.0,12829042.35528503,1,9.0,Marketing,10062987.972021518,,0.3388949137858808
278,1,4.0,41066248.45976112,1,82.0,Engineer,10058480.525306825,,0.6451182757359561
279,0,1.0,126078125.30456725,0,10.0,Lawyer,10444844.873904107,,0.3363852678642741
280,1,0.0,2739708.6249156306,0,17.0,Healthcare,10015859.175319096,,0.4940975801082289
281,1,3.0,2187430.8435651823,0,21.0,Homemaker,10032228.305728268,1.0,0.2370481676904622
282,1,0.0,19168587.859893765,1,3.0,Executive,10209396.067787347,,0.2843662220217408
283,1,1.0,12580593.135703089,1,9.0,Marketing,10052743.054532906,1.0,0.3446119679645346
284,1,0.0,3682123.8517421796,0,17.0,Healthcare,10181914.784317622,,0.3362265715798967
285,1,4.0,42756451.36139897,1,81.0,Engineer,10180889.523617797,,0.4884605145774958
286,1,3.0,2554011.4404160506,0,20.0,Homemaker,10077991.862808628,1.0,0.2942982471579125
287,1,0.0,3219236.134424099,0,17.0,Healthcare,10126453.045954764,1.0,0.2059921171232395
288,1,0.0,2435777.580540961,0,17.0,Healthcare,10106582.284723517,0.0,0.1909307116830349
289,1,4.0,61248408.11182175,1,81.0,Engineer,10098977.71694693,,0.5130915827984791
290,1,9.0,133159508.35053384,1,99.0,Artist,10445780.276318587,,0.4785246639683893
291,0,1.0,172829640.75016093,0,11.0,Lawyer,10240097.277830396,0.0,0.2245705922453506
292,1,0.0,2689321.8305954584,0,17.0,Healthcare,10140768.541539587,,0.4275274778894745
293,1,2.0,182741039.5653876,1,32.0,Doctor,10265027.196824772,1.0,0.3553669440195027
294,0,1.0,132369412.89719659,0,11.0,Lawyer,10256841.971904725,1.0,0.2829685197612898
295,1,6.0,221278556.46794024,1,14.0,Entertainment,10316960.93992757,1.0,0.6234766957417476
296,1,0.0,2949141.0628139134,0,17.0,Healthcare,10029242.26087009,1.0,0.4174701715756082
297,1,0.0,39432213.850349694,1,3.0,Executive,10050131.781367537,1.0,0.4417015075210696
