,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,work_type,destroy_degree,work_duration,car_id,worker_id,sex,fix_date
38,38,38,38,repair,8.1,63,g21927975o,XF,1,2019-3-4 15:20
39,39,39,39,reparking,0.0,9,C97329021k,VR,0,2019-7-24 7:32
40,40,40,40,reparking,0.0,6,I13549379V,LP,0,2019-12-6 3:31
41,41,41,41,reparking,0.0,14,U14129401Z,QB,0,2019-3-29 11:43
42,42,42,42,reparking,0.0,9,V15317805t,GL,1,2020-10-29 22:28
43,43,43,43,reparking,0.0,5,H75734034E,HL,1,2019-10-5 3:34
44,44,44,44,reparking,0.0,4,J25880963A,CP,1,2018-1-24 2:33
45,45,45,45,repair,4.5,37,U39520556u,KJ,0,2019-6-5 22:56
46,46,46,46,refuel,0.0,6,x15739910a,FS,1,2020-5-1 2:1
47,47,47,47,reparking,0.0,10,Z21476194D,BK,1,2019-4-14 21:24
48,48,48,48,reparking,0.0,10,w12391717O,XD,1,2020-3-16 21:11
49,49,49,49,repair,8.2,68,n20316947U,ZN,0,2020-12-2 11:25
50,50,50,50,reparking,0.0,5,y62871792F,JK,1,2020-1-19 1:5
51,51,51,51,reparking,0.0,5,b15019916u,XK,0,2021-8-14 2:42
52,52,52,52,reparking,0.0,10,U10711419T,CY,1,2018-10-21 8:11
53,53,53,53,reparking,0.0,3,R19153983O,VD,0,2021-10-10 1:43
54,54,54,54,refuel,0.0,6,N10549589U,QJ,0,2019-6-5 3:56
55,55,55,55,repair,6.1,46,T17258323F,QF,1,2019-6-13 13:11
56,56,56,56,reparking,0.0,12,d90605125B,DZ,0,2021-11-20 11:42
57,57,57,57,reparking,0.0,12,J21389113X,RN,0,2019-10-10 10:32
58,58,58,58,reparking,0.0,16,J89206681B,FO,0,2019-12-4 14:51
59,59,59,59,reparking,0.0,8,D11898674k,MW,1,2020-5-20 3:14
60,60,60,60,reparking,0.0,4,Q12081449W,RJ,0,2021-12-12 2:46
61,61,61,61,repair,6.2,52,p13265436R,MZ,0,2021-10-1 23:29
62,62,62,62,reparking,0.0,15,u94278703K,OY,1,2019-4-18 13:32
63,63,63,63,reparking,0.0,8,M11207935Y,PH,0,2019-12-6 22:30
64,64,64,64,reparking,0.0,6,E85884187F,GM,0,2019-7-16 23:32
65,65,65,65,refuel,0.0,15,M16942202w,SJ,0,2020-12-18 13:15
66,66,66,66,reparking,0.0,16,z15639936K,AO,1,2020-11-9 12:10
67,67,67,67,reparking,0.0,17,B93363649Z,UB,1,2021-3-30 15:2
68,68,68,68,repair,5.4,35,f22490453I,AT,1,2020-10-13 13:13
69,69,69,69,reparking,0.0,14,j22621886P,MY,1,2020-6-9 18:13
70,70,70,70,reparking,0.0,10,N93684873i,PB,0,2019-7-14 8:38
71,71,71,71,repair,4.3,36,N17457370J,EV,0,2019-11-30 3:24
72,72,72,72,reparking,0.0,2,h83193449d,LN,1,2021-10-13 1:26
73,73,73,73,repair,5.5,36,Q12049154i,XS,1,2020-7-16 14:17
74,74,74,74,refuel,0.0,15,Z17275599T,JD,0,2019-1-3 14:49
75,75,75,75,refuel,0.0,9,I12161012I,XX,0,2019-11-12 7:49
76,76,76,76,repair,5.1,45,D48474630C,JD,1,2019-9-17 1:10
77,77,77,77,reparking,0.0,14,r89269408x,IY,1,2018-3-12 11:21
78,78,78,78,reparking,0.0,13,K86750569e,LF,0,2019-9-14 16:51
79,79,79,79,repair,3.7,18,o11540629s,XB,0,2019-8-1 14:28
80,80,80,80,refuel,0.0,7,S20543842X,OW,1,2018-3-25 5:9
81,81,81,81,refuel,0.0,11,k80786856l,KO,0,2019-11-24 11:53
82,82,82,82,reparking,0.0,2,c20590315d,MY,0,2019-2-25 0:46
83,83,83,83,refuel,0.0,11,G13821834T,IF,0,2019-4-16 9:45
84,84,84,84,reparking,0.0,10,g11560137d,SJ,0,2021-10-8 8:28
85,85,85,85,repair,4.3,27,K11766813E,CR,1,2020-8-29 10:12
86,86,86,86,reparking,0.0,13,d19214377Y,HL,1,2020-5-7 10:21
87,87,87,87,repair,6.0,46,r11156401h,EO,0,2019-6-14 15:28
88,88,88,88,reparking,0.0,10,d88869649B,BZ,0,2019-7-1 21:49
89,89,89,89,reparking,0.0,6,Y19405099D,GG,1,2020-2-12 1:21
90,90,90,90,reparking,0.0,15,N58030401q,BZ,1,2019-3-25 15:7
91,91,91,91,refuel,0.0,15,a92313727A,DN,1,2019-7-30 11:47
92,92,92,92,reparking,0.0,9,D18115460t,HR,1,2020-1-12 5:31
93,93,93,93,reparking,0.0,7,m13963562E,BV,1,2018-7-26 4:38
94,94,94,94,reparking,0.0,8,P86362307q,NJ,1,2020-11-17 5:14
95,95,95,95,refuel,0.0,15,u16907319C,JM,0,2019-12-21 14:50
96,96,96,96,refuel,0.0,13,x10430805f,JM,0,2019-6-18 16:46
97,97,97,97,reparking,0.0,2,z71654131y,PP,1,2019-4-29 0:7
98,98,98,98,reparking,0.0,7,J22559152a,NY,0,2018-7-11 23:30
99,99,99,99,reparking,0.0,8,i19014419C,SK,0,2020-5-22 21:49
100,100,100,4999,refuel,0.0,4,Z21640888N,SF,0,2021-12-13 2:58
101,101,101,5000,reparking,0.0,16,J15244210Z,DD,0,2019-8-11 16:21
102,102,102,5001,reparking,0.0,8,i91600067A,VC,0,2019-10-13 23:40
103,103,103,5002,refuel,0.0,12,C72229940J,TX,0,2019-9-10 19:23
104,104,104,5003,reparking,0.0,10,B15425558p,SB,1,2018-5-14 5:29
105,105,105,5004,repair,5.7,49,t53263450D,PF,0,2020-2-3 4:37
106,106,106,5005,reparking,0.0,9,O18917243I,SH,1,2021-9-3 4:1
107,107,107,5006,refuel,0.0,11,H17821257f,LL,0,2020-3-8 19:58
108,108,108,5007,reparking,0.0,14,a41823930e,DJ,1,2021-8-17 9:2
109,109,109,5008,reparking,0.0,9,a14231502T,DO,0,2019-7-19 20:23
110,110,110,5009,reparking,0.0,7,W16217358q,UX,1,2018-5-3 4:15
111,111,111,5010,refuel,0.0,15,A38569725K,RJ,0,2019-10-15 15:55
112,112,112,5011,reparking,0.0,2,F16031202c,DS,1,2019-2-7 0:23
113,113,113,5012,repair,4.9,39,n15570314X,RN,1,2020-11-22 22:9
114,114,114,5013,reparking,0.0,15,S18159473b,XB,0,2019-7-4 13:42
115,115,115,5014,reparking,0.0,18,l22245696z,HC,1,2020-12-30 14:31
116,116,116,5015,repair,4.2,32,D16978575e,FF,1,2020-4-5 5:12
117,117,117,5016,reparking,0.0,12,x80002642q,QH,0,2019-11-28 19:35
118,118,118,5017,reparking,0.0,13,B21190735B,OG,1,2019-4-3 11:23
119,119,119,5018,reparking,0.0,11,O94358151K,BN,0,2020-12-27 8:51
120,120,120,5019,reparking,0.0,12,e62534445C,ES,0,2019-11-8 11:24
121,121,121,5020,repair,6.0,53,u18458685Y,JN,1,2020-12-18 4:11
122,122,122,5021,reparking,0.0,12,z11597106c,RN,1,2020-1-14 8:34
123,123,123,5022,reparking,0.0,3,k21965739e,YD,0,2020-8-3 2:58
124,124,124,5023,refuel,0.0,7,x58837153O,VK,0,2020-10-8 22:39
125,125,125,5024,repair,7.0,60,G47342943f,MW,1,2020-5-2 5:13
126,126,126,5025,refuel,0.0,12,O19264387t,MZ,0,2019-1-21 17:55
127,127,127,5026,refuel,0.0,15,F19059946i,IN,0,2019-5-30 16:48
128,128,128,5027,reparking,0.0,9,r51754540Z,TM,1,2019-9-27 6:12
129,129,129,5028,repair,7.4,62,A80759079M,CY,0,2019-6-28 11:33
130,130,130,5029,refuel,0.0,4,q94996107b,RM,0,2019-12-21 2:40
131,131,131,5030,refuel,0.0,9,D21168709j,NW,1,2020-9-24 6:26
132,132,132,5031,reparking,0.0,11,F13324317X,UN,0,2020-11-15 20:32
133,133,133,5032,reparking,0.0,12,a24383432S,TD,0,2021-2-11 10:21
134,134,134,5033,reparking,0.0,4,c71404784h,TV,1,2020-9-15 2:1
135,135,135,5034,repair,5.1,36,M16195084T,YJ,1,2019-10-15 11:17
136,136,136,5035,reparking,0.0,8,T21646410G,XH,1,2020-6-6 6:14
137,137,137,5036,reparking,0.0,13,a81162503f,IX,1,2019-6-13 10:2
138,138,138,5037,reparking,0.0,14,g21927975o,IN,1,2019-7-20 11:11
139,139,139,5038,reparking,0.0,11,C97329021k,FO,0,2021-9-15 8:49
140,140,140,5039,reparking,0.0,5,I13549379V,EO,1,2020-6-12 1:5
141,141,141,5040,reparking,0.0,8,U14129401Z,GL,1,2019-3-18 23:42
142,142,142,5041,reparking,0.0,16,V15317805t,GC,1,2018-1-27 15:11
143,143,143,5042,reparking,0.0,13,H75734034E,CH,1,2020-11-23 9:35
144,144,144,5043,reparking,0.0,11,J25880963A,IK,1,2020-10-2 7:7
145,145,145,5044,repair,5.5,39,U39520556u,FC,1,2020-9-4 11:17
146,146,146,5045,reparking,0.0,6,x15739910a,OP,1,2020-9-5 2:22
147,147,147,5046,reparking,0.0,12,Z21476194D,BT,1,2019-4-2 8:4
148,148,148,5047,reparking,0.0,9,w12391717O,EB,1,2018-9-28 6:42
149,149,149,5048,repair,3.8,29,n20316947U,OR,1,2018-5-9 4:16
150,150,150,5049,reparking,0.0,14,y62871792F,MK,0,2021-3-20 17:21
151,151,151,5050,repair,5.3,38,b15019916u,EC,0,2019-6-27 17:56
152,152,152,5051,reparking,0.0,6,U10711419T,BM,1,2020-3-2 3:22
153,153,153,5052,reparking,0.0,13,R19153983O,TO,1,2020-4-26 20:29
154,154,154,5053,reparking,0.0,12,N10549589U,SV,1,2018-4-15 20:8
155,155,155,5054,refuel,0.0,4,T17258323F,FN,0,2018-11-13 1:42
156,156,156,5055,reparking,0.0,14,d90605125B,IG,1,2020-4-8 16:18
157,157,157,5056,repair,5.6,48,J21389113X,WF,0,2019-9-3 23:39
158,158,158,5057,reparking,0.0,14,J89206681B,YX,0,2021-4-19 17:44
159,159,159,5058,reparking,0.0,6,D11898674k,AM,1,2020-7-27 1:24
160,160,160,5059,reparking,0.0,8,Q12081449W,QT,0,2019-9-14 21:31
161,161,161,5060,repair,6.7,59,p13265436R,VD,1,2020-7-25 5:28
162,162,162,5061,refuel,0.0,6,u94278703K,OG,0,2019-7-29 3:21
163,163,163,5062,reparking,0.0,9,M11207935Y,WN,1,2019-1-12 21:33
164,164,164,5063,reparking,0.0,6,E85884187F,SJ,0,2019-7-22 4:55
165,165,165,5064,refuel,0.0,15,M16942202w,KF,0,2019-2-14 16:42
166,166,166,5065,refuel,0.0,7,z15639936K,ND,1,2020-9-22 4:16
167,167,167,5066,reparking,0.0,11,B93363649Z,KB,0,2020-11-17 20:50
168,168,168,5067,reparking,0.0,14,f22490453I,MF,1,2020-1-16 18:4
169,169,169,5068,reparking,0.0,7,j22621886P,FN,0,2019-9-3 23:30
170,170,170,5069,refuel,0.0,7,N93684873i,QC,0,2019-10-2 5:44
171,171,171,5070,repair,6.3,50,N17457370J,UO,0,2019-4-27 11:23
172,172,172,5071,reparking,0.0,8,h83193449d,MN,1,2020-2-22 5:11
173,173,173,5072,reparking,0.0,13,Q12049154i,DD,0,2019-2-18 10:3
174,174,174,5073,repair,7.4,61,Z17275599T,QP,1,2018-10-4 20:11
175,175,175,5074,repair,6.4,57,I12161012I,OO,0,2019-12-11 4:56
176,176,176,5075,reparking,0.0,16,D48474630C,DH,0,2019-8-30 15:47
177,177,177,5076,repair,6.6,56,r89269408x,IF,1,2020-2-27 7:9
178,178,178,5077,repair,6.0,45,K86750569e,VV,1,2020-5-9 11:9
179,179,179,5078,refuel,0.0,9,o11540629s,ZX,0,2019-8-1 20:39
180,180,180,5079,reparking,0.0,8,S20543842X,XS,1,2018-4-8 5:36
181,181,181,5080,reparking,0.0,9,k80786856l,LR,0,2019-12-22 22:22
182,182,182,5081,refuel,0.0,12,c20590315d,RL,0,2020-9-13 18:34
183,183,183,5082,reparking,0.0,3,G13821834T,FB,0,2019-9-25 3:19
184,184,184,5083,repair,6.5,55,g11560137d,KJ,0,2020-8-1 20:49
185,185,185,5084,reparking,0.0,7,K11766813E,CD,0,2019-12-2 22:27
186,186,186,5085,reparking,0.0,13,d19214377Y,CM,1,2019-4-9 18:30
187,187,187,5086,reparking,0.0,12,r11156401h,QT,0,2019-9-19 17:21
188,188,188,5087,reparking,0.0,2,d88869649B,WD,0,2020-12-1 1:41
189,189,189,5088,reparking,0.0,6,Y19405099D,LF,1,2019-1-27 2:25
190,190,190,5089,repair,5.1,36,N58030401q,HJ,1,2018-8-15 12:23
191,191,191,5090,reparking,0.0,16,a92313727A,UJ,1,2019-2-10 16:21
192,192,192,5091,reparking,0.0,5,D18115460t,RN,0,2019-2-30 4:48
193,193,193,5092,refuel,0.0,13,m13963562E,YR,1,2019-4-7 18:13
194,194,194,5093,repair,5.1,36,P86362307q,TF,0,2019-8-28 17:50
195,195,195,5094,reparking,0.0,10,u16907319C,VM,1,2018-2-4 21:15
196,196,196,5095,reparking,0.0,7,x10430805f,HF,1,2019-5-28 4:25
197,197,197,5096,reparking,0.0,7,z71654131y,VP,0,2019-5-8 4:25
198,198,198,5097,reparking,0.0,6,J22559152a,RC,0,2019-11-24 3:32
199,199,199,5098,reparking,0.0,15,i19014419C,KV,1,2018-1-25 12:6
200,200,200,9998,repair,6.7,54,Z21640888N,ZY,0,2019-12-15 18:44
201,201,201,9999,refuel,0.0,11,J15244210Z,WZ,0,2019-11-8 9:42
202,202,202,10000,repair,7.8,60,i91600067A,RF,0,2019-10-8 14:32
203,203,203,10001,repair,4.0,32,C72229940J,FV,1,2019-12-9 3:2
204,204,204,10002,refuel,0.0,13,B15425558p,SM,1,2019-3-11 11:25
205,205,205,10003,reparking,0.0,17,t53263450D,FB,0,2021-6-3 14:41
206,206,206,10004,repair,4.0,36,O18917243I,AM,1,2020-4-30 0:13
207,207,207,10005,reparking,0.0,9,H17821257f,MJ,1,2020-9-18 21:19
208,208,208,10006,reparking,0.0,16,a41823930e,ZY,1,2020-10-29 16:37
209,209,209,10007,reparking,0.0,7,a14231502T,JO,1,2020-1-12 3:15
210,210,210,10008,refuel,0.0,8,W16217358q,LF,0,2018-10-20 21:53
211,211,211,10009,refuel,0.0,14,A38569725K,PR,0,2019-8-9 17:59
212,212,212,10010,repair,5.7,43,F16031202c,JS,0,2019-9-2 9:37
213,213,213,10011,repair,7.4,61,n15570314X,QB,1,2019-7-10 20:17
214,214,214,10012,reparking,0.0,13,S18159473b,QX,0,2019-3-2 17:24
215,215,215,10013,reparking,0.0,9,l22245696z,IM,0,2021-12-25 22:22
216,216,216,10014,refuel,0.0,7,D16978575e,EV,0,2019-11-17 2:51
217,217,217,10015,reparking,0.0,12,x80002642q,KR,1,2020-3-6 10:27
218,218,218,10016,reparking,0.0,13,B21190735B,TZ,0,2019-11-25 18:31
219,219,219,10017,repair,6.1,42,O94358151K,RD,1,2018-8-2 14:16
220,220,220,10018,reparking,0.0,19,e62534445C,JL,1,2018-5-23 14:2
221,221,221,10019,reparking,0.0,9,u18458685Y,SM,0,2019-4-11 9:48
222,222,222,10020,refuel,0.0,16,z11597106c,OH,1,2020-10-5 15:21
223,223,223,10021,reparking,0.0,14,k21965739e,GZ,1,2020-2-9 11:6
224,224,224,10022,reparking,0.0,4,x58837153O,CO,0,2019-7-8 2:34
225,225,225,10023,reparking,0.0,14,G47342943f,GY,0,2019-11-8 17:37
226,226,226,10024,reparking,0.0,17,O19264387t,NT,1,2020-2-25 13:27
227,227,227,10025,reparking,0.0,17,F19059946i,DG,0,2021-2-12 14:53
228,228,228,10026,reparking,0.0,7,r51754540Z,CD,0,2021-5-21 23:36
229,229,229,10027,repair,3.7,27,A80759079M,HJ,1,2019-3-6 20:10
230,230,230,10028,reparking,0.0,7,q94996107b,BY,0,2021-12-8 5:49
231,231,231,10029,reparking,0.0,6,D21168709j,QV,1,2020-6-16 3:35
232,232,232,10030,reparking,0.0,10,F13324317X,UM,0,2019-8-27 21:34
233,233,233,10031,repair,6.7,49,a24383432S,QW,1,2019-11-7 14:10
234,234,234,10032,refuel,0.0,18,c71404784h,PW,1,2018-3-30 13:1
235,235,235,10033,repair,5.9,51,M16195084T,CP,1,2018-9-13 3:12
236,236,236,10034,reparking,0.0,7,T21646410G,ZC,0,2019-4-15 23:31
237,237,237,10035,repair,4.9,42,a81162503f,CV,1,2019-3-5 2:18
238,238,238,10036,reparking,0.0,11,g21927975o,EO,1,2018-3-14 19:23
239,239,239,10037,reparking,0.0,9,C97329021k,EC,1,2020-6-10 6:0
240,240,240,10038,reparking,0.0,11,I13549379V,KR,0,2021-9-1 19:39
241,241,241,10039,reparking,0.0,14,U14129401Z,TD,1,2020-2-4 11:10
242,242,242,10040,reparking,0.0,9,V15317805t,ND,0,2019-11-14 20:51
243,243,243,10041,reparking,0.0,5,H75734034E,NV,1,2020-6-23 1:2
244,244,244,10042,reparking,0.0,5,J25880963A,MY,0,2020-9-11 2:21
245,245,245,10043,refuel,0.0,17,U39520556u,HJ,1,2020-3-15 12:30
246,246,246,10044,reparking,0.0,16,x15739910a,OC,1,2019-8-4 11:0
247,247,247,10045,refuel,0.0,13,Z21476194D,XL,1,2020-8-29 9:13
248,248,248,10046,reparking,0.0,9,w12391717O,DT,1,2020-8-12 22:19
249,249,249,10047,reparking,0.0,12,n20316947U,DV,0,2020-6-24 10:58
250,250,250,10048,reparking,0.0,14,y62871792F,VM,0,2019-7-22 11:43
251,251,251,10049,reparking,0.0,4,b15019916u,WX,0,2020-8-21 3:58
252,252,252,10050,reparking,0.0,14,U10711419T,JG,1,2018-10-27 11:20
253,253,253,10051,repair,6.0,50,R19153983O,SO,1,2020-7-14 6:5
254,254,254,10052,refuel,0.0,17,N10549589U,AZ,0,2019-8-26 14:29
255,255,255,10053,reparking,0.0,11,T17258323F,JC,0,2019-10-2 19:39
256,256,256,10054,reparking,0.0,15,d90605125B,KD,1,2020-4-3 11:20
257,257,257,10055,reparking,0.0,12,J21389113X,HX,1,2018-2-1 20:2
258,258,258,10056,refuel,0.0,5,J89206681B,EF,1,2019-4-1 2:25
259,259,259,10057,refuel,0.0,17,D11898674k,IK,1,2020-4-16 13:10
260,260,260,10058,repair,5.3,41,Q12081449W,PN,0,2019-11-7 10:53
261,261,261,10059,repair,6.0,51,p13265436R,BN,0,2019-8-21 23:48
262,262,262,10060,reparking,0.0,4,u94278703K,MF,1,2020-2-12 1:30
263,263,263,10061,repair,8.3,74,M11207935Y,JF,1,2020-3-19 4:37
264,264,264,10062,reparking,0.0,6,E85884187F,FM,0,2020-6-15 3:39
265,265,265,10063,repair,5.0,41,M16942202w,QF,0,2019-7-26 7:41
266,266,266,10064,repair,5.9,48,z15639936K,TP,0,2019-10-4 21:30
267,267,267,10065,repair,5.7,44,B93363649Z,PP,0,2020-5-21 10:47
268,268,268,10066,reparking,0.0,11,f22490453I,MO,1,2019-7-2 8:15
269,269,269,10067,repair,4.3,40,j22621886P,HT,1,2020-9-4 0:22
270,270,270,10068,reparking,0.0,13,N93684873i,QP,1,2020-8-2 10:31
271,271,271,10069,reparking,0.0,14,N17457370J,HV,1,2020-5-12 12:21
272,272,272,10070,repair,4.3,29,h83193449d,NM,1,2020-7-4 11:6
273,273,273,10071,reparking,0.0,13,Q12049154i,TP,0,2021-2-29 18:49
274,274,274,10072,reparking,0.0,4,Z17275599T,TO,1,2019-1-9 1:34
275,275,275,10073,reparking,0.0,16,I12161012I,JH,0,2020-12-10 14:56
276,276,276,10074,reparking,0.0,1,D48474630C,EM,0,2021-4-24 0:54
277,277,277,10075,repair,4.8,41,r89269408x,KT,1,2020-3-21 3:18
278,278,278,10076,reparking,0.0,9,K86750569e,KS,1,2020-1-10 23:14
279,279,279,10077,refuel,0.0,18,o11540629s,MS,0,2021-6-21 14:32
280,280,280,10078,refuel,0.0,15,S20543842X,BT,1,2019-10-29 16:35
281,281,281,10079,repair,5.6,41,k80786856l,IZ,1,2020-10-2 13:11
282,282,282,10080,reparking,0.0,12,c20590315d,TB,1,2020-6-2 8:10
283,283,283,10081,repair,5.0,33,G13821834T,LW,1,2019-3-10 13:3
284,284,284,10082,reparking,0.0,14,g11560137d,RB,0,2019-8-27 13:12
285,285,285,10083,refuel,0.0,3,K11766813E,YH,0,2019-9-27 1:34
286,286,286,10084,refuel,0.0,6,d19214377Y,ZY,0,2019-8-2 2:29
287,287,287,10085,reparking,0.0,6,r11156401h,GB,1,2020-10-30 4:49
288,288,288,10086,reparking,0.0,14,d88869649B,DR,0,2019-9-21 16:32
289,289,289,10087,refuel,0.0,14,Y19405099D,RT,0,2019-3-9 16:5
290,290,290,10088,refuel,0.0,16,N58030401q,HR,1,2020-5-30 14:31
291,291,291,10089,reparking,0.0,17,a92313727A,DN,1,2018-3-9 14:9
292,292,292,10090,refuel,0.0,4,D18115460t,DH,0,2020-7-25 2:42
293,293,293,10091,reparking,0.0,10,m13963562E,AG,1,2018-1-13 8:2
294,294,294,10092,repair,6.9,60,P86362307q,VY,0,2019-6-30 22:41
295,295,295,10093,reparking,0.0,16,u16907319C,XG,0,2019-10-3 14:40
296,296,296,10094,reparking,0.0,13,x10430805f,CV,0,2019-8-27 18:54
297,297,297,10095,reparking,0.0,16,z71654131y,HZ,1,2020-1-6 16:9
298,298,298,10096,refuel,0.0,1,J22559152a,MM,0,2021-8-27 0:40
299,299,299,10097,reparking,0.0,16,i19014419C,YC,1,2018-5-19 17:0
300,300,300,14997,repair,6.3,58,Z21640888N,GX,0,2019-5-21 2:13
301,301,301,14998,repair,3.2,27,J15244210Z,AC,1,2020-2-19 2:31
302,302,302,14999,reparking,0.0,9,i91600067A,BT,0,2019-10-7 8:30
303,303,303,15000,reparking,0.0,10,C72229940J,ZP,0,2019-8-10 9:51
304,304,304,15001,repair,7.5,66,B15425558p,FH,1,2020-10-27 5:17
305,305,305,15002,reparking,0.0,15,t53263450D,EK,0,2021-4-16 13:44
306,306,306,15003,repair,4.7,37,O18917243I,GM,0,2019-12-2 22:56
307,307,307,15004,reparking,0.0,4,H17821257f,PC,1,2018-3-19 2:34
308,308,308,15005,reparking,0.0,4,a41823930e,FB,0,2020-10-24 3:29
309,309,309,15006,refuel,0.0,17,a14231502T,DR,1,2018-10-7 14:10
310,310,310,15007,repair,5.3,40,W16217358q,HN,1,2020-11-23 19:9
311,311,311,15008,reparking,0.0,8,A38569725K,DK,1,2020-9-23 6:8
312,312,312,15009,reparking,0.0,9,F16031202c,HN,1,2020-7-10 21:18
313,313,313,15010,reparking,0.0,11,n15570314X,PO,0,2020-5-25 8:42
314,314,314,15011,reparking,0.0,6,S18159473b,JZ,0,2020-2-14 23:49
315,315,315,15012,reparking,0.0,17,l22245696z,YJ,1,2020-8-26 12:31
316,316,316,15013,reparking,0.0,11,D16978575e,RL,0,2019-8-18 8:53
317,317,317,15014,repair,5.0,43,x80002642q,WZ,1,2020-1-14 3:29
318,318,318,15015,reparking,0.0,6,B21190735B,FT,1,2020-4-22 3:13
319,319,319,15016,reparking,0.0,12,O94358151K,KJ,1,2020-5-2 19:26
320,320,320,15017,reparking,0.0,15,e62534445C,BG,0,2021-6-17 16:36
321,321,321,15018,refuel,0.0,3,u18458685Y,NC,1,2019-9-23 1:2
322,322,322,15019,reparking,0.0,13,z11597106c,XG,0,2020-2-24 12:46
323,323,323,15020,reparking,0.0,8,k21965739e,OD,0,2019-6-13 6:41
324,324,324,15021,reparking,0.0,15,x58837153O,HB,1,2020-5-20 11:1
325,325,325,15022,reparking,0.0,4,G47342943f,VB,1,2019-6-21 0:12
326,326,326,15023,refuel,0.0,9,O19264387t,BF,0,2019-7-4 6:58
327,327,327,15024,reparking,0.0,13,F19059946i,DF,1,2020-3-27 8:14
328,328,328,15025,reparking,0.0,12,r51754540Z,JB,0,2019-6-1 19:27
329,329,329,15026,reparking,0.0,9,A80759079M,RK,0,2020-9-8 21:51
330,330,330,15027,reparking,0.0,12,q94996107b,NY,1,2018-9-14 18:17
331,331,331,15028,reparking,0.0,13,D21168709j,UG,0,2019-12-7 15:43
332,332,332,15029,reparking,0.0,15,F13324317X,WS,0,2020-9-16 15:58
333,333,333,15030,reparking,0.0,16,a24383432S,SG,0,2019-6-1 15:31
334,334,334,15031,repair,5.6,45,c71404784h,VJ,1,2020-3-4 22:6
335,335,335,15032,reparking,0.0,15,M16195084T,OL,0,2019-2-5 15:44
336,336,336,15033,refuel,0.0,10,T21646410G,WM,1,2019-7-24 21:1
337,337,337,15034,reparking,0.0,10,a81162503f,QK,1,2020-4-5 22:14
338,338,338,15035,refuel,0.0,13,g21927975o,VL,0,2019-12-18 10:46
339,339,339,15036,reparking,0.0,10,C97329021k,FC,0,2019-6-29 8:54
