car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class,mean_rating,distance_sum,rating_min,speed_max,user_ride_quality_median,deviation_normal_count,user_uniq
t10463236f,Mini Cooper,business,petrol,3.84,2014,58789,2022,62.3,engine_ignition,4.074942528735632,14479292.854849895,0.1,195.2360632275796,1.8797224514865123,174,174
v13404305i,Kia Sportage,standart,petrol,2.7,2014,60017,2020,40.7,break_bug,5.331206896551724,9255259.719569338,0.33,112.2626779670123,-3.6310703667818425,174,173
m20203244V,Kia Rio,economy,petrol,2.96,2014,65703,2016,35.43,engine_overheat,4.217011494252874,16509060.789360844,0.1,177.13405127768635,0.3146103400208526,174,172
k-1015732Y,Nissan Qashqai,standart,petrol,5.42,2012,20276,2016,26.4,engine_overheat,4.1498275862068965,19977026.737995993,0.1,197.5346514078148,-1.098368665386231,174,171
m-8965256V,VW Tiguan,economy,petrol,4.9,2017,114576,2019,80.16,engine_ignition,4.067528735632184,17296276.779062003,0.1,183.49692933404805,-13.493252665350669,174,172
U13022243O,Renault Sandero,standart,petrol,3.8,2011,3028,2021,32.86,electro_bug,3.916206896551724,15713161.187668815,0.0,185.33961233674796,2.0236158803262634,174,172
j12330862q,Hyundai Solaris,economy,petrol,3.86,2014,58610,2017,30.84,gear_stick,4.660172413793103,7117682.887295571,0.1,101.33342383388566,0.1927822603920015,174,173
C-5320082T,Kia Rio X,economy,petrol,4.36,2013,47354,2020,42.98,electro_bug,4.278965517241379,17252429.84524186,0.0,172.0510387003145,2.2423740138833965,174,172
s17672064L,Smart ForTwo,economy,petrol,3.18,2016,96361,2020,30.24,gear_stick,4.508448275862069,11815667.499680225,0.1,110.02402089612136,7.57269200332102,174,171
d19359573S,Smart ForTwo,economy,petrol,2.78,2015,93180,2017,34.43,engine_overheat,3.9448275862068964,17122201.070706572,0.1,193.7127461972635,13.34212544236376,174,172
O22361854N,VW Polo VI,economy,petrol,2.52,2011,5500,2018,37.2,engine_overheat,4.046149425287356,3803221.1174842,0.1,192.4459711469768,-5.294573329014524,174,174
i-1479300M,Skoda Rapid,economy,petrol,4.88,2017,137213,2019,84.52,another_bug,4.67183908045977,20729106.634006854,0.1,169.08232539229763,-0.0925249141415598,174,172
L60286103R,VW Polo VI,economy,petrol,3.88,2012,25173,2018,50.42,break_bug,5.319080459770115,10022071.901391407,0.36,122.63770448111772,0.37393248944848023,174,172
p26377723i,Hyundai Solaris,economy,petrol,4.1,2013,40281,2019,36.6,break_bug,5.414597701149425,18427386.97187734,0.45,113.61741681708182,-1.168393328991379,174,173
W-1512641W,Renault Kaptur,standart,petrol,5.4,2013,47719,2018,26.22,engine_overheat,4.275977011494253,13575005.747928873,0.1,189.4908427961317,-9.268339531628085,174,174
y-3838245t,Kia Sportage,standart,petrol,4.7,2015,84786,2021,36.9,engine_overheat,4.044310344827586,17452445.64929375,0.1,181.5948050220017,-5.160855330887383,174,174
b-2719977Z,Kia Rio X,economy,petrol,4.5,2014,65491,2020,59.35,another_bug,4.767241379310345,15549613.848861823,0.94,200.0,9.110570671628304,174,171
D-2109758O,VW Tiguan,economy,petrol,5.1,2015,88451,2020,31.44,engine_fuel,3.9442528735632183,22141976.486220133,0.1,168.47728484452395,-2.0340358987972462,174,171
M89853598O,Kia Rio X,economy,petrol,3.82,2012,18403,2018,52.04,engine_overheat,3.995,11863044.501202293,0.1,199.4113740601043,9.385431346270703,174,171
z34396656x,Nissan Qashqai,standart,petrol,4.12,2011,251,2015,56.53,engine_ignition,3.9639655172413795,15297087.098631687,0.1,185.27939214918771,-2.1540850024406017,174,173
S19803153J,Hyundai Solaris,economy,petrol,5.26,2012,28216,2015,73.94,another_bug,4.627988505747126,13246043.433951415,0.12,177.0,5.753195176212715,174,172
y35650754l,VW Tiguan,economy,petrol,4.48,2016,105035,2018,55.43,wheel_shake,4.63,18542904.789115455,0.1,124.25252355038036,-12.471731054709885,174,170
U-1719392C,Skoda Rapid,economy,petrol,5.56,2016,94354,2021,39.34,engine_overheat,3.9722988505747123,11906123.224730974,0.1,197.01095885357128,0.16206825966150984,174,173
Q12359942h,Kia Rio,economy,petrol,3.62,2014,58269,2019,30.99,electro_bug,4.1194252873563215,3910275.2890529493,0.0,176.29222859928723,-2.613718872124774,174,173
F-2082660j,Kia Rio X,economy,petrol,4.58,2011,4083,2016,61.56,engine_ignition,4.167356321839081,17683875.318707902,0.1,191.08848264225156,-8.925689427116065,174,174
C15164392z,Skoda Rapid,economy,petrol,3.34,2016,93681,2014,30.45,electro_bug,4.655459770114942,13306107.40431244,0.0,188.9783976993745,-30.08311093700561,174,173
A-6969550V,Smart ForFour,economy,petrol,4.98,2016,106858,2014,34.79,engine_overheat,4.099540229885058,11587433.981394779,0.1,198.48929834405112,-3.420689876629966,174,173
H21489304G,Renault Kaptur,standart,petrol,4.56,2012,22533,2020,68.02,another_bug,4.839252873563218,10775576.939556593,0.21,174.22778926826246,3.814616537920873,174,174
Y-4731644Z,Kia Rio X,economy,petrol,5.7,2013,48487,2019,36.6,electro_bug,4.926149425287356,13327345.334956426,0.0,173.3784470017017,-10.293346620683982,174,172
Y-1002609O,Renault Kaptur,standart,petrol,5.8,2012,21154,2018,24.7,gear_stick,4.51735632183908,15308274.793739855,0.1,106.10855165450626,-10.987327473188447,174,172
q11941907L,Skoda Rapid,economy,petrol,3.46,2017,111468,2017,57.58,engine_ignition,3.8498275862068967,10140081.849360518,0.1,188.93888746580387,4.206150783905999,174,173
W17831606Y,Hyundai Solaris,economy,petrol,3.22,2014,55735,2016,98.82,another_bug,4.567528735632184,11506386.484044436,0.1,190.0,4.5492722118134985,174,172
u-1788771U,VW Polo,economy,petrol,4.54,2012,19239,2018,35.27,engine_fuel,4.005057471264368,8906595.130459595,0.1,176.41196496069557,5.703812487077718,174,173
F-1257166O,Kia Rio X,economy,petrol,5.12,2012,19918,2015,34.72,engine_overheat,3.967126436781609,14842370.708165454,0.1,182.81232444321336,-14.580532382892219,174,173
k82740809C,Renault Sandero,standart,petrol,4.68,2014,59221,2015,37.75,engine_fuel,4.11235632183908,9660830.539986135,0.1,177.16996506616007,-1.772681564452734,174,172
A13746070T,Renault Sandero,standart,petrol,3.36,2011,6019,2021,23.61,break_bug,5.20448275862069,14720220.762335733,0.1,123.619141685415,2.932695571347707,174,172
E-1356165C,Kia Sportage,standart,petrol,3.72,2015,75739,2016,34.24,break_bug,5.402298850574713,8515352.661026279,0.85,106.6379771119483,-3.3303316707070607,174,174
w-1247670S,Nissan Qashqai,standart,petrol,5.18,2013,44612,2016,51.32,engine_overheat,4.254425287356321,6001695.738261409,0.1,181.0461654805773,0.08304558876924424,174,173
t11173721p,Kia Rio X,economy,petrol,4.62,2014,56626,2018,34.98,engine_overheat,4.097758620689655,13709487.642575145,0.1,182.2791399577897,-3.9481719282411745,174,173
i-1340626g,Smart ForTwo,economy,petrol,5.84,2013,38431,2020,35.48,electro_bug,4.256264367816092,10615759.486011952,0.0,184.88662278210808,9.394843121739296,174,168
G11530237Q,VW Polo VI,economy,petrol,4.62,2015,87418,2019,27.36,engine_fuel,3.985344827586207,12960569.015091175,0.1,179.75906074515763,-27.86278653178581,174,173
z-1854947J,Smart Coupe,economy,petrol,4.86,2014,63075,2020,98.71,another_bug,4.856896551724138,18600471.591976333,0.22,196.6015272676526,11.520849086503773,174,169
G-1102710u,VW Polo,economy,petrol,4.52,2011,8768,2020,27.27,electro_bug,4.346206896551724,15341783.419372523,0.0,198.5944433202849,-15.621428849489163,174,173
q-1861373D,Smart ForTwo,economy,petrol,4.46,2013,43385,2016,44.18,another_bug,4.795919540229885,19991985.60114994,0.1,181.0690689368081,0.8258253823751867,174,172
F-1720906M,Volkswagen ID.4 ,premium,electro,5.8,2014,52932,2021,100.42,another_bug,4.793275862068965,9115999.583306326,0.1,171.0,3.5266757107507765,174,143
N-1361542t,Kia Sportage,standart,petrol,4.14,2012,23529,2015,53.58,engine_ignition,3.9530459770114943,13801992.470755732,0.1,191.02478969031603,6.532807001568745,174,173
b-1432630h,VW Polo,economy,petrol,5.34,2013,38078,2019,34.36,wheel_shake,4.567471264367816,14536924.184936164,0.1,119.0,5.215981038404969,174,172
h-5381376K,Kia Sportage,standart,petrol,4.38,2014,57212,2020,69.77,engine_ignition,4.288045977011494,13938106.405475862,0.1,191.9809966070908,0.6159695238444101,174,172
P-1870462h,Hyundai Solaris,economy,petrol,5.78,2015,85556,2020,48.04,break_bug,5.322011494252873,4148047.5482452274,0.1,136.88354743464512,-3.99813266447695,174,172
v-9248915k,Kia Rio,economy,petrol,4.42,2013,43498,2018,31.16,gear_stick,4.392011494252873,18596015.721761808,0.1,105.05018426587966,6.677617869679484,174,174
K51907129A,Smart ForTwo,economy,petrol,5.38,2014,61307,2021,32.1,electro_bug,4.191091954022989,11204686.702910718,0.0,200.0,26.99148600015039,174,174
X-1892335q,Hyundai Solaris,economy,petrol,3.68,2015,76475,2019,34.23,engine_overheat,4.2748850574712645,12828868.5356765,0.1,191.66632929664712,-13.757766989686228,174,170
v19385068r,Smart ForTwo,economy,petrol,3.9,2015,85592,2016,35.21,wheel_shake,4.6451149425287355,19986642.190882027,0.26,146.07247806839624,-9.448214805800603,174,173
m-9741436p,Kia Rio X-line,economy,petrol,3.96,2015,82062,2014,34.89,electro_bug,4.294655172413793,18575394.57881134,0.0,180.94447330813827,-0.7311708167486337,174,173
I13605989C,VW Tiguan,economy,petrol,4.04,2013,40885,2022,44.19,wheel_shake,4.669022988505747,8780774.256559843,0.1,137.91845786696285,-2.7232495237792778,174,173
C-1374739x,Hyundai Solaris,economy,petrol,5.16,2013,38432,2015,79.62,another_bug,4.761091954022988,9534394.12690729,0.65,173.0,0.9049990580855887,174,172
h20080273C,Kia Rio,economy,petrol,3.44,2013,47064,2020,30.63,wheel_shake,4.368850574712644,8652657.216118712,0.1,131.8727997742751,-2.816224419981758,174,172
g-1944591e,Skoda Rapid,economy,petrol,4.7,2017,109697,2021,55.71,engine_overheat,4.341034482758621,10723459.266067225,0.1,199.88926587922344,-8.996741413000517,174,172
b17225071g,VW Polo VI,economy,petrol,3.42,2012,22261,2014,28.07,gear_stick,4.56867816091954,6596599.410381081,0.1,99.40808742247174,-0.4871508047203716,174,173
O13657804w,Mini Cooper,business,petrol,3.26,2013,48070,2016,53.26,engine_overheat,4.371149425287356,10039257.06231372,0.1,182.4054623537517,-2.122749655234274,174,172
V-7306183J,Renault Sandero,standart,petrol,5.14,2011,18628,2020,37.14,engine_fuel,4.122413793103448,8913479.75499434,0.1,167.53882607433934,5.983658596316768,174,173
A56074965v,Skoda Rapid,economy,petrol,3.48,2017,128159,2017,29.64,engine_fuel,3.9251149425287357,19384103.001548592,0.1,176.98447366780988,-0.6738196606974118,174,171
f19927901y,Smart Coupe,economy,petrol,4.02,2015,80183,2017,47.21,engine_fuel,4.347413793103448,9238479.808522522,0.1,164.44147310022723,-5.9965409455522085,174,174
a-7058206h,Kia Rio X,economy,petrol,4.98,2012,20772,2016,52.78,engine_check,4.60896551724138,8820497.211971529,0.1,179.7583006041497,-18.788916039859124,174,172
a55365942d,Hyundai Solaris,economy,petrol,4.02,2015,72800,2020,28.51,engine_fuel,4.110114942528735,15220442.532031942,0.1,179.61804476901682,-12.04534488335598,174,172
z-1220018d,VW Polo VI,economy,petrol,5.64,2014,66305,2020,37.72,wheel_shake,4.780919540229885,15158847.443684507,0.14,119.0,-13.894125266493301,174,174
R21058725x,Kia Rio,economy,petrol,3.18,2011,109,2016,29.66,engine_overheat,3.9791954022988505,11002783.37579502,0.1,182.0,14.368673103794919,174,171
b-2371028p,Smart ForFour,economy,petrol,5.22,2013,41121,2017,52.43,engine_ignition,4.32867816091954,16383163.738025274,0.1,165.41888157592098,-5.71560672798965,174,170
G43865383Q,Kia Rio,economy,petrol,4.18,2015,78338,2018,32.38,electro_bug,4.202931034482758,13129758.68331423,0.0,200.0,-8.029200180549427,174,174
e78313402L,Kia Rio X,economy,petrol,3.04,2015,84778,2020,26.6,wheel_shake,4.670574712643678,11224021.160501378,0.1,128.6081739429445,2.175754163575628,174,172
d-6672088A,Kia Rio X,economy,petrol,3.12,2015,80270,2019,47.56,engine_fuel,4.378218390804597,8632883.445290618,0.1,155.0373454944734,16.572580111670497,174,171
b-8415196u,Smart ForFour,economy,petrol,4.34,2013,41482,2019,88.23,another_bug,4.938505747126436,8834685.588602964,0.1,183.0,-8.99144851309764,174,173
N18957837j,VW Polo,economy,petrol,4.28,2012,25882,2017,43.08,engine_fuel,4.042643678160919,15239660.05885283,0.1,184.05052424110104,5.624670101905386,174,171
v69592222X,Smart ForFour,economy,petrol,2.94,2016,95904,2019,69.26,another_bug,4.6819540229885055,13067984.189968538,0.1,192.0,1.8300891133210375,174,170
n19871201N,Tesla Model 3,premium,electro,3.58,2016,89811,2018,99.17,another_bug,4.648448275862069,10237556.049649894,0.1,195.2439613171936,6.716249224382176,174,147
A-1683178f,Smart ForTwo,economy,petrol,6.04,2014,61877,2015,51.59,engine_check,4.3372988505747125,21308740.15601186,0.1,177.03417210125264,0.9525112481231401,174,169
c-1462399e,Kia Sportage,standart,petrol,4.76,2013,46432,2016,52.73,engine_ignition,3.7486206896551724,18364993.138738506,0.1,187.0,5.559501687200246,174,174
C38293729H,Smart ForTwo,economy,petrol,4.72,2016,111683,2016,40.56,engine_fuel,4.267988505747127,20956875.417997118,0.1,162.29877905302413,-6.4449190087185055,174,173
M-4645533N,Hyundai Solaris,economy,petrol,4.4,2014,55154,2021,29.08,break_bug,5.328390804597701,16089425.927670032,0.1,113.68580195567236,-20.002326566498535,174,173
i22101695X,Fiat 500,business,petrol,5.16,2015,80937,2022,54.08,engine_check,4.450114942528736,13835524.77226239,0.1,159.69889100318608,21.821151339388727,174,172
c22334367p,Renault Sandero,standart,petrol,3.86,2012,22419,2019,44.43,engine_overheat,4.129540229885057,18377032.53300276,0.1,190.9486179582776,8.30425881052195,174,172
S61532080S,Hyundai Solaris,economy,petrol,4.0,2012,19243,2014,45.08,engine_overheat,4.10551724137931,12573265.740787512,0.1,185.50880081960668,-3.250881785911149,174,173
W-3482364r,Kia Rio X,economy,petrol,5.3,2012,22234,2022,110.24,another_bug,4.804022988505747,14639836.826308446,0.33,194.0,10.50707295294547,174,170
r-1098555x,VW Polo,economy,petrol,5.28,2015,76719,2020,27.04,engine_fuel,4.152873563218391,15504226.575770924,0.1,159.72187442931693,15.72559424294161,174,172
J-2221564E,Smart ForTwo,economy,petrol,5.62,2015,77620,2016,54.0,engine_ignition,3.9685057471264367,17688400.945819218,0.1,191.4318597471467,11.442993992124553,174,173
t89744603y,Smart ForFour,economy,petrol,2.36,2017,109830,2018,79.14,another_bug,4.886264367816092,7158548.788595083,0.1,196.0,8.05814759220646,174,170
R22777636m,Kia Rio X,economy,petrol,2.2,2012,22872,2022,23.03,wheel_shake,4.6994252873563225,13137940.33858752,0.1,126.00949600809513,-0.5837355649028773,174,171
g95201799l,Kia Rio X-line,economy,petrol,4.14,2015,87419,2020,58.96,engine_ignition,4.107126436781609,7033562.804864312,0.1,185.32600924547597,-0.0768106475854559,174,170
b18050488U,Skoda Rapid,economy,petrol,3.42,2015,90601,2020,21.68,break_bug,5.354770114942529,20084373.430179667,0.1,109.9067149081344,16.419070256088773,174,172
C-2187827F,Kia Sportage,standart,petrol,4.7,2013,46648,2019,35.75,engine_fuel,3.842068965517241,20814137.94661303,0.1,193.3685732877934,-20.741253005313965,174,171
a-6471303K,Renault Sandero,standart,petrol,4.12,2015,81653,2016,57.78,engine_ignition,4.267183908045977,23627229.7862401,0.1,173.04906333826102,-8.453459755904554,174,171
u16335953I,VW Tiguan,economy,petrol,4.16,2017,132600,2019,56.99,engine_overheat,4.410057471264368,18615633.243254166,0.1,173.46117014572314,-15.235401150639433,174,173
Z-1478978u,Kia Rio,economy,petrol,4.36,2011,1439,2017,71.08,another_bug,4.748850574712644,19106733.85868665,0.1,196.04508171389597,-3.7901057553892823,174,170
u-1774078g,Smart ForFour,economy,petrol,5.24,2017,124530,2015,63.94,another_bug,4.436149425287356,16621788.214357771,0.1,200.0,-0.28666342912568066,174,173
e13179173i,VW Polo VI,economy,petrol,4.46,2011,11754,2017,49.52,engine_ignition,4.068620689655172,11967036.665432937,0.1,189.8047665509525,-25.719318829767026,174,174
V-9361538G,Kia Rio X-line,economy,petrol,5.96,2012,20930,2018,22.12,break_bug,5.39235632183908,13699937.498471092,1.22,126.61832377854712,-14.987729646020648,174,174
C22072062B,Nissan Qashqai,standart,petrol,3.38,2013,43909,2020,51.23,engine_ignition,4.244712643678161,11638027.048504008,0.1,194.8169460268608,-8.427917893324182,174,174
E68314843q,Kia Sportage,standart,petrol,3.78,2015,86476,2018,65.69,engine_ignition,4.208390804597701,11921403.331871446,0.1,182.0445787879931,10.043601192591133,174,172
k88534152q,VW Polo,economy,petrol,3.52,2013,47288,2019,37.92,wheel_shake,4.446551724137931,8451909.26204301,0.1,136.63040685162372,-0.5080855948020266,174,172
q12920406o,Kia Sportage,standart,petrol,4.08,2015,71427,2017,40.4,electro_bug,4.258965517241379,12475584.667702591,0.0,179.0,-2.2984534606651548,174,172
u-1057398c,Smart ForFour,economy,petrol,5.28,2013,47865,2017,52.65,engine_ignition,4.119195402298851,12746073.357870394,0.1,180.25959685932625,-17.48075695344467,174,174
s-3746188l,Smart ForFour,economy,petrol,4.3,2015,88693,2015,25.09,break_bug,5.636091954022988,13197322.489497326,0.1,120.08519408646436,-11.222892900478886,174,172
j37934708f,Smart ForFour,economy,petrol,2.32,2017,129623,2019,65.0,engine_ignition,3.9786206896551723,5160139.63399371,0.1,185.30720473884284,1.6347755362785463,174,173
M-2125716U,Smart ForFour,economy,petrol,5.52,2017,126000,2015,28.96,gear_stick,4.374367816091954,9896285.8998135,0.15,102.5502181006026,0.6442602632627388,174,174
A-6734908O,VW Polo,economy,petrol,5.56,2012,21871,2016,43.68,engine_check,4.671551724137931,7485421.708839286,0.79,161.3040638815686,-2.414701505547702,174,170
f82085811L,VW Polo,economy,petrol,3.06,2013,39692,2016,66.86,engine_check,4.606034482758621,11360905.55087432,0.1,160.0,-8.924734043175732,174,174
T-1299777v,Kia Sportage,standart,petrol,5.02,2015,79029,2019,27.33,electro_bug,4.069367816091955,18711347.50068034,0.0,176.2560884982147,-10.704431399869247,174,170
i21928776j,Kia Sportage,standart,petrol,2.82,2015,81505,2017,29.55,gear_stick,4.5297701149425285,10254335.08072789,0.1,110.32876720748573,18.48466027232657,174,172
y11348057n,Renault Sandero,standart,petrol,4.08,2013,35273,2022,44.88,engine_check,4.527126436781609,8927982.606845142,0.1,166.79793971734432,-16.026698080439793,174,173
a-1515400J,VW Polo,economy,petrol,4.24,2011,5693,2018,35.91,engine_overheat,4.075057471264367,7933177.037785909,0.1,189.99768465057588,9.704320382287964,174,172
S17262804N,Skoda Rapid,economy,petrol,3.7,2015,74119,2019,44.01,wheel_shake,4.68867816091954,13937046.696911572,0.1,115.0,-11.539166291628636,174,172
W14795073t,Skoda Rapid,economy,petrol,4.4,2016,115249,2016,54.05,engine_ignition,4.09028735632184,14464944.41946513,0.1,173.46929074424847,3.3517163201860063,174,172
u-1594350q,Kia Rio X-line,economy,petrol,4.72,2012,22087,2018,56.35,engine_fuel,4.206264367816092,20051476.568885162,0.1,149.3680569656025,-10.354821073211076,174,171
j-1145477E,Mercedes-Benz GLC,business,petrol,4.96,2013,39729,2021,32.49,engine_fuel,3.9744252873563215,15140105.237878496,0.1,176.0704027710107,11.629286114764291,174,165
a-7125351Z,VW Tiguan,economy,petrol,3.62,2017,127194,2020,69.56,engine_ignition,4.050114942528736,12869711.92809276,0.1,167.51723312036128,-1.0427069209863664,174,173
C73458374Q,Kia Sportage,standart,petrol,4.32,2013,40977,2015,44.9,engine_check,4.630862068965517,13040322.728814466,0.1,156.0,-9.015776632065279,174,170
H42487546s,Kia Rio X-line,economy,petrol,4.34,2013,45381,2016,32.25,electro_bug,4.107586206896552,25303644.797632694,0.0,195.2861626427412,3.737604503452881,174,173
f-4873956c,Nissan Qashqai,standart,petrol,4.22,2013,46259,2015,26.38,engine_fuel,3.9549999999999996,12452369.619829401,0.1,175.61102217329213,-0.4406916471015173,174,170
n-2171056h,Kia Rio X-line,economy,petrol,5.16,2011,6954,2015,32.07,gear_stick,4.432183908045977,7336217.5077044405,0.61,112.35296240295077,4.103829028917091,174,172
B18328752a,Renault Kaptur,standart,petrol,4.72,2011,4209,2022,32.32,break_bug,5.197068965517241,16467545.38110294,0.1,111.80345313624804,8.880643042332322,174,174
N-4929388x,VW Tiguan,economy,petrol,4.24,2017,113201,2021,35.33,engine_overheat,4.254080459770115,10514408.148179604,0.1,187.92088758471965,-5.987657208672835,174,174
s-1723833v,BMW 320i,business,petrol,4.02,2014,58695,2020,49.98,engine_check,4.675919540229885,16607283.682428492,0.1,158.50322429837283,-12.659579900950337,174,170
N15139629D,Renault Sandero,standart,petrol,4.7,2014,75248,2018,26.58,engine_overheat,4.094252873563218,10264649.906511132,0.1,195.18456912262545,-14.36281843198557,174,172
z-3170763V,Audi A4,premium,petrol,6.02,2014,67985,2021,40.23,gear_stick,4.557873563218391,10418342.31342751,0.1,108.51946819318027,5.560742444263441,174,170
w-2294853S,Kia Sportage,standart,petrol,4.18,2015,75858,2018,75.7,another_bug,4.8612068965517246,8857526.136527807,0.1,167.23283788179316,9.576211475401621,174,173
v13590850L,Kia Rio X,economy,petrol,4.2,2015,83400,2014,59.96,engine_ignition,4.150977011494253,6636083.92089784,0.1,194.5313150545371,-1.8990643484478968,174,172
N-7018320r,Nissan Qashqai,standart,petrol,4.4,2015,87391,2019,54.85,engine_ignition,4.157413793103448,18959156.999617353,0.1,193.5739295092904,-2.0693378242281852,174,174
C-8860661H,VW Polo,economy,petrol,4.3,2014,71807,2022,27.0,gear_stick,4.523103448275862,15302309.957840148,0.1,101.74359099449605,-16.425079814785512,174,174
e-1657282o,Nissan Qashqai,standart,petrol,5.78,2015,93706,2017,38.39,engine_overheat,4.175689655172414,9684175.76775992,0.1,195.8715085366833,9.120052692447274,174,173
a-1090366N,VW Tiguan,economy,petrol,5.08,2014,57442,2017,59.07,engine_overheat,4.169942528735633,21889645.11673734,0.1,174.15821427344915,-2.3107035962748066,174,172
T-1979577d,Audi Q3,premium,petrol,4.52,2016,92850,2022,34.5,electro_bug,4.105919540229885,7703850.686749467,0.0,185.08461278706253,9.544074741570169,174,173
T10443943B,Kia Rio X,economy,petrol,4.74,2011,5334,2017,28.84,break_bug,5.449022988505747,16928112.346710533,0.58,103.72493460170924,3.54475824442632,174,174
C-7059083l,Kia Rio X-line,economy,petrol,4.8,2011,1876,2017,31.74,electro_bug,4.274597701149425,13939927.20733248,0.0,199.89739857965424,-8.74373389081688,174,172
V-2775445H,Smart Coupe,economy,petrol,4.38,2016,96277,2016,25.12,electro_bug,4.092586206896552,20612138.66527738,0.0,158.97588577793218,-6.57700928448843,174,173
Y-1359331n,Kia Rio,economy,petrol,5.1,2014,61248,2016,54.13,engine_check,4.35183908045977,13568653.444431217,0.23,163.85365932663854,1.5594745408630764,174,174
J-3845561g,VW Tiguan,economy,petrol,5.82,2016,102626,2017,60.13,engine_check,4.516091954022988,14983326.476873044,0.1,153.0,28.02089854076096,174,172
