car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class
Z-1155909A,Nissan Qashqai,standart,petrol,4.62,2013,40025,2020,4165.56,engine_overheat
Z-1196295K,Smart ForTwo,economy,petrol,4.54,2016,115037,2019,854.46,engine_overheat
i31421704Y,Renault Kaptur,standart,petrol,5.34,2013,51207,2017,3352.57,engine_check
t10463236f,Mini Cooper,business,petrol,3.84,2014,58789,2022,9931.92,engine_ignition
v13404305i,Kia Sportage,standart,petrol,2.7,2014,60017,2020,3182.07,break_bug
m20203244V,Kia Rio,economy,petrol,2.96,2014,65703,2016,2155.83,engine_overheat
k-1015732Y,Nissan Qashqai,standart,petrol,5.42,2012,20276,2016,791.31,engine_overheat
m-8965256V,VW Tiguan,economy,petrol,4.9,2017,114576,2019,6240.59,engine_ignition
U13022243O,Renault Sandero,standart,petrol,3.8,2011,3028,2021,2011.84,electro_bug
j12330862q,Hyundai Solaris,economy,petrol,3.86,2014,58610,2017,1737.21,gear_stick
C-5320082T,Kia Rio X,economy,petrol,4.36,2013,47354,2020,4193.79,electro_bug
s17672064L,Smart ForTwo,economy,petrol,3.18,2016,96361,2020,1317.98,gear_stick
d19359573S,Smart ForTwo,economy,petrol,2.78,2015,93180,2017,1778.52,engine_overheat
O22361854N,VW Polo VI,economy,petrol,2.52,2011,5500,2018,2605.17,engine_overheat
i-1479300M,Skoda Rapid,economy,petrol,4.88,2017,137213,2019,3151.92,another_bug
L60286103R,VW Polo VI,economy,petrol,3.88,2012,25173,2018,5140.35,break_bug
p26377723i,Hyundai Solaris,economy,petrol,4.1,2013,40281,2019,1700.22,break_bug
W-1512641W,Renault Kaptur,standart,petrol,5.4,2013,47719,2018,931.67,engine_overheat
y-3838245t,Kia Sportage,standart,petrol,4.7,2015,84786,2021,2084.35,engine_overheat
b-2719977Z,Kia Rio X,economy,petrol,4.5,2014,65491,2020,2417.85,another_bug
D-2109758O,VW Tiguan,economy,petrol,5.1,2015,88451,2020,388.89,engine_fuel
M89853598O,Kia Rio X,economy,petrol,3.82,2012,18403,2018,3184.16,engine_overheat
z34396656x,Nissan Qashqai,standart,petrol,4.12,2011,251,2015,6997.92,engine_ignition
S19803153J,Hyundai Solaris,economy,petrol,5.26,2012,28216,2015,1818.35,another_bug
y35650754l,VW Tiguan,economy,petrol,4.48,2016,105035,2018,4108.2,wheel_shake
U-1719392C,Skoda Rapid,economy,petrol,5.56,2016,94354,2021,1753.55,engine_overheat
Q12359942h,Kia Rio,economy,petrol,3.62,2014,58269,2019,2640.76,electro_bug
F-2082660j,Kia Rio X,economy,petrol,4.58,2011,4083,2016,3259.36,engine_ignition
C15164392z,Skoda Rapid,economy,petrol,3.34,2016,93681,2014,3261.91,electro_bug
A-6969550V,Smart ForFour,economy,petrol,4.98,2016,106858,2014,1177.22,engine_overheat
H21489304G,Renault Kaptur,standart,petrol,4.56,2012,22533,2020,3413.66,another_bug
Y-4731644Z,Kia Rio X,economy,petrol,5.7,2013,48487,2019,2949.02,electro_bug
Y-1002609O,Renault Kaptur,standart,petrol,5.8,2012,21154,2018,1018.06,gear_stick
q11941907L,Skoda Rapid,economy,petrol,3.46,2017,111468,2017,5891.36,engine_ignition
W17831606Y,Hyundai Solaris,economy,petrol,3.22,2014,55735,2016,4870.08,another_bug
u-1788771U,VW Polo,economy,petrol,4.54,2012,19239,2018,716.56,engine_fuel
F-1257166O,Kia Rio X,economy,petrol,5.12,2012,19918,2015,1678.7,engine_overheat
k82740809C,Renault Sandero,standart,petrol,4.68,2014,59221,2015,1158.26,engine_fuel
A13746070T,Renault Sandero,standart,petrol,3.36,2011,6019,2021,1131.87,break_bug
E-1356165C,Kia Sportage,standart,petrol,3.72,2015,75739,2016,2489.56,break_bug
w-1247670S,Nissan Qashqai,standart,petrol,5.18,2013,44612,2016,5781.02,engine_overheat
t11173721p,Kia Rio X,economy,petrol,4.62,2014,56626,2018,1733.67,engine_overheat
i-1340626g,Smart ForTwo,economy,petrol,5.84,2013,38431,2020,2795.67,electro_bug
G11530237Q,VW Polo VI,economy,petrol,4.62,2015,87418,2019,490.68,engine_fuel
z-1854947J,Smart Coupe,economy,petrol,4.86,2014,63075,2020,4794.82,another_bug
G-1102710u,VW Polo,economy,petrol,4.52,2011,8768,2020,943.47,electro_bug
q-1861373D,Smart ForTwo,economy,petrol,4.46,2013,43385,2016,979.91,another_bug
F-1720906M,Volkswagen ID.4 ,premium,electro,5.8,2014,52932,2021,19080.4,another_bug
N-1361542t,Kia Sportage,standart,petrol,4.14,2012,23529,2015,4311.55,engine_ignition
b-1432630h,VW Polo,economy,petrol,5.34,2013,38078,2019,1072.63,wheel_shake
h-5381376K,Kia Sportage,standart,petrol,4.38,2014,57212,2020,9640.15,engine_ignition
P-1870462h,Hyundai Solaris,economy,petrol,5.78,2015,85556,2020,6382.65,break_bug
v-9248915k,Kia Rio,economy,petrol,4.42,2013,43498,2018,1037.44,gear_stick
K51907129A,Smart ForTwo,economy,petrol,5.38,2014,61307,2021,5447.62,electro_bug
X-1892335q,Hyundai Solaris,economy,petrol,3.68,2015,76475,2019,1028.13,engine_overheat
v19385068r,Smart ForTwo,economy,petrol,3.9,2015,85592,2016,2229.25,wheel_shake
m-9741436p,Kia Rio X-line,economy,petrol,3.96,2015,82062,2014,6296.87,electro_bug
I13605989C,VW Tiguan,economy,petrol,4.04,2013,40885,2022,2520.95,wheel_shake
C-1374739x,Hyundai Solaris,economy,petrol,5.16,2013,38432,2015,2225.07,another_bug
h20080273C,Kia Rio,economy,petrol,3.44,2013,47064,2020,555.26,wheel_shake
g-1944591e,Skoda Rapid,economy,petrol,4.7,2017,109697,2021,5631.93,engine_overheat
b17225071g,VW Polo VI,economy,petrol,3.42,2012,22261,2014,781.04,gear_stick
O13657804w,Mini Cooper,business,petrol,3.26,2013,48070,2016,8077.89,engine_overheat
V-7306183J,Renault Sandero,standart,petrol,5.14,2011,18628,2020,2345.16,engine_fuel
A56074965v,Skoda Rapid,economy,petrol,3.48,2017,128159,2017,376.03,engine_fuel
f19927901y,Smart Coupe,economy,petrol,4.02,2015,80183,2017,2004.02,engine_fuel
a-7058206h,Kia Rio X,economy,petrol,4.98,2012,20772,2016,2547.89,engine_check
a55365942d,Hyundai Solaris,economy,petrol,4.02,2015,72800,2020,772.0,engine_fuel
z-1220018d,VW Polo VI,economy,petrol,5.64,2014,66305,2020,1489.35,wheel_shake
R21058725x,Kia Rio,economy,petrol,3.18,2011,109,2016,704.89,engine_overheat
b-2371028p,Smart ForFour,economy,petrol,5.22,2013,41121,2017,3168.44,engine_ignition
G43865383Q,Kia Rio,economy,petrol,4.18,2015,78338,2018,966.5,electro_bug
e78313402L,Kia Rio X,economy,petrol,3.04,2015,84778,2020,377.34,wheel_shake
d-6672088A,Kia Rio X,economy,petrol,3.12,2015,80270,2019,1524.97,engine_fuel
b-8415196u,Smart ForFour,economy,petrol,4.34,2013,41482,2019,9181.53,another_bug
N18957837j,VW Polo,economy,petrol,4.28,2012,25882,2017,2908.88,engine_fuel
v69592222X,Smart ForFour,economy,petrol,2.94,2016,95904,2019,4105.05,another_bug
n19871201N,Tesla Model 3,premium,electro,3.58,2016,89811,2018,31783.32,another_bug
A-1683178f,Smart ForTwo,economy,petrol,6.04,2014,61877,2015,3036.86,engine_check
c-1462399e,Kia Sportage,standart,petrol,4.76,2013,46432,2016,5037.0,engine_ignition
C38293729H,Smart ForTwo,economy,petrol,4.72,2016,111683,2016,2155.75,engine_fuel
M-4645533N,Hyundai Solaris,economy,petrol,4.4,2014,55154,2021,778.66,break_bug
i22101695X,Fiat 500,business,petrol,5.16,2015,80937,2022,5551.8,engine_check
c22334367p,Renault Sandero,standart,petrol,3.86,2012,22419,2019,3299.04,engine_overheat
S61532080S,Hyundai Solaris,economy,petrol,4.0,2012,19243,2014,3198.07,engine_overheat
W-3482364r,Kia Rio X,economy,petrol,5.3,2012,22234,2022,9305.48,another_bug
r-1098555x,VW Polo,economy,petrol,5.28,2015,76719,2020,282.2,engine_fuel
J-2221564E,Smart ForTwo,economy,petrol,5.62,2015,77620,2016,3544.37,engine_ignition
t89744603y,Smart ForFour,economy,petrol,2.36,2017,109830,2018,2636.92,another_bug
R22777636m,Kia Rio X,economy,petrol,2.2,2012,22872,2022,233.02,wheel_shake
g95201799l,Kia Rio X-line,economy,petrol,4.14,2015,87419,2020,6589.99,engine_ignition
b18050488U,Skoda Rapid,economy,petrol,3.42,2015,90601,2020,386.36,break_bug
C-2187827F,Kia Sportage,standart,petrol,4.7,2013,46648,2019,1274.54,engine_fuel
a-6471303K,Renault Sandero,standart,petrol,4.12,2015,81653,2016,7740.95,engine_ignition
u16335953I,VW Tiguan,economy,petrol,4.16,2017,132600,2019,5033.52,engine_overheat
Z-1478978u,Kia Rio,economy,petrol,4.36,2011,1439,2017,3052.35,another_bug
u-1774078g,Smart ForFour,economy,petrol,5.24,2017,124530,2015,1746.95,another_bug
e13179173i,VW Polo VI,economy,petrol,4.46,2011,11754,2017,3460.05,engine_ignition
V-9361538G,Kia Rio X-line,economy,petrol,5.96,2012,20930,2018,453.91,break_bug
C22072062B,Nissan Qashqai,standart,petrol,3.38,2013,43909,2020,3592.08,engine_ignition
E68314843q,Kia Sportage,standart,petrol,3.78,2015,86476,2018,4274.65,engine_ignition
k88534152q,VW Polo,economy,petrol,3.52,2013,47288,2019,2066.1,wheel_shake
q12920406o,Kia Sportage,standart,petrol,4.08,2015,71427,2017,1835.49,electro_bug
u-1057398c,Smart ForFour,economy,petrol,5.28,2013,47865,2017,3386.01,engine_ignition
s-3746188l,Smart ForFour,economy,petrol,4.3,2015,88693,2015,915.14,break_bug
j37934708f,Smart ForFour,economy,petrol,2.32,2017,129623,2019,6015.86,engine_ignition
M-2125716U,Smart ForFour,economy,petrol,5.52,2017,126000,2015,1004.81,gear_stick
A-6734908O,VW Polo,economy,petrol,5.56,2012,21871,2016,1605.65,engine_check
f82085811L,VW Polo,economy,petrol,3.06,2013,39692,2016,4129.3,engine_check
T-1299777v,Kia Sportage,standart,petrol,5.02,2015,79029,2019,1368.57,electro_bug
i21928776j,Kia Sportage,standart,petrol,2.82,2015,81505,2017,680.4,gear_stick
y11348057n,Renault Sandero,standart,petrol,4.08,2013,35273,2022,3633.4,engine_check
a-1515400J,VW Polo,economy,petrol,4.24,2011,5693,2018,2120.62,engine_overheat
S17262804N,Skoda Rapid,economy,petrol,3.7,2015,74119,2019,2884.94,wheel_shake
W14795073t,Skoda Rapid,economy,petrol,4.4,2016,115249,2016,5178.41,engine_ignition
u-1594350q,Kia Rio X-line,economy,petrol,4.72,2012,22087,2018,2401.26,engine_fuel
j-1145477E,Mercedes-Benz GLC,business,petrol,4.96,2013,39729,2021,2803.34,engine_fuel
a-7125351Z,VW Tiguan,economy,petrol,3.62,2017,127194,2020,8529.61,engine_ignition
C73458374Q,Kia Sportage,standart,petrol,4.32,2013,40977,2015,2578.93,engine_check
H42487546s,Kia Rio X-line,economy,petrol,4.34,2013,45381,2016,1108.69,electro_bug
f-4873956c,Nissan Qashqai,standart,petrol,4.22,2013,46259,2015,597.76,engine_fuel
n-2171056h,Kia Rio X-line,economy,petrol,5.16,2011,6954,2015,966.53,gear_stick
B18328752a,Renault Kaptur,standart,petrol,4.72,2011,4209,2022,2832.26,break_bug
N-4929388x,VW Tiguan,economy,petrol,4.24,2017,113201,2021,1657.24,engine_overheat
s-1723833v,BMW 320i,business,petrol,4.02,2014,58695,2020,9998.15,engine_check
N15139629D,Renault Sandero,standart,petrol,4.7,2014,75248,2018,603.71,engine_overheat
z-3170763V,Audi A4,premium,petrol,6.02,2014,67985,2021,10765.07,gear_stick
w-2294853S,Kia Sportage,standart,petrol,4.18,2015,75858,2018,9388.54,another_bug
v13590850L,Kia Rio X,economy,petrol,4.2,2015,83400,2014,8368.5,engine_ignition
N-7018320r,Nissan Qashqai,standart,petrol,4.4,2015,87391,2019,4224.81,engine_ignition
C-8860661H,VW Polo,economy,petrol,4.3,2014,71807,2022,622.86,gear_stick
e-1657282o,Nissan Qashqai,standart,petrol,5.78,2015,93706,2017,3151.68,engine_overheat
a-1090366N,VW Tiguan,economy,petrol,5.08,2014,57442,2017,4610.46,engine_overheat
T-1979577d,Audi Q3,premium,petrol,4.52,2016,92850,2022,3921.66,electro_bug
T10443943B,Kia Rio X,economy,petrol,4.74,2011,5334,2017,1069.05,break_bug
C-7059083l,Kia Rio X-line,economy,petrol,4.8,2011,1876,2017,2038.89,electro_bug
V-2775445H,Smart Coupe,economy,petrol,4.38,2016,96277,2016,1257.84,electro_bug
Y-1359331n,Kia Rio,economy,petrol,5.1,2014,61248,2016,3724.01,engine_check
J-3845561g,VW Tiguan,economy,petrol,5.82,2016,102626,2017,5486.06,engine_check
J-1519931T,Hyundai Solaris,economy,petrol,4.28,2012,19784,2017,1334.19,break_bug
w-1534281h,VW Tiguan,economy,petrol,4.7,2013,43382,2020,1152.84,gear_stick
q25090977a,Skoda Rapid,economy,petrol,3.02,2017,130192,2014,2394.9,engine_ignition
P14343623p,Skoda Rapid,economy,petrol,4.32,2013,39955,2016,2183.01,electro_bug
S87921938R,Kia Sportage,standart,petrol,2.54,2015,81075,2016,2513.94,gear_stick
Z-2503410m,Renault Sandero,standart,petrol,4.9,2015,84878,2016,910.23,break_bug
X15138491s,Nissan Qashqai,standart,petrol,3.64,2015,88467,2022,6119.57,engine_ignition
s12797973g,VW Tiguan,economy,petrol,2.96,2013,36650,2022,885.1,wheel_shake
S-2166867a,Renault Sandero,standart,petrol,4.58,2015,77531,2015,2545.48,another_bug
l21968436d,Renault Sandero,standart,petrol,3.58,2013,46708,2017,7613.41,engine_ignition
e48349275H,Smart Coupe,economy,petrol,4.44,2017,135192,2018,2744.15,gear_stick
J-2076735y,Smart ForFour,economy,petrol,5.14,2015,73604,2017,3536.52,gear_stick
H73023939E,Kia Rio,economy,petrol,4.24,2013,40772,2016,2778.43,engine_ignition
N-6929570j,Kia Sportage,standart,petrol,5.56,2012,21395,2018,714.66,engine_overheat
a68025486E,Kia Rio X-line,economy,petrol,3.82,2013,44337,2017,578.13,electro_bug
q-4068323Z,Kia Rio X-line,economy,petrol,5.9,2013,41179,2020,1811.75,electro_bug
V15348382y,Renault Sandero,standart,petrol,4.12,2015,73441,2018,2582.01,engine_overheat
u14532736a,Smart ForFour,economy,petrol,3.26,2014,60524,2021,1050.58,engine_overheat
V40334761U,Smart Coupe,economy,petrol,4.38,2016,95641,2020,6798.54,electro_bug
B-2214084P,Kia Rio X,economy,petrol,5.9,2011,6550,2020,1886.28,wheel_shake
q-1404140E,VW Tiguan,economy,petrol,4.56,2015,82940,2021,385.37,electro_bug
A-3681208u,Smart ForFour,economy,petrol,4.66,2017,122882,2021,2820.74,engine_ignition
E16896376o,VW Polo VI,economy,petrol,2.1,2015,89960,2018,4165.23,engine_overheat
d-2534590I,Renault Kaptur,standart,petrol,5.4,2014,69549,2016,1759.93,another_bug
S-1965116I,Kia Rio,economy,petrol,6.22,2012,22988,2016,3777.77,break_bug
b-4266665E,Kia Rio X-line,economy,petrol,3.68,2013,46131,2018,373.01,gear_stick
I13914989Z,Tesla Model 3,premium,electro,4.64,2016,98304,2019,104377.42,engine_ignition
m47130393l,Smart ForTwo,economy,petrol,3.34,2014,58608,2022,3164.03,engine_overheat
Q-7410329X,Audi A3,premium,petrol,4.78,2015,75722,2018,4970.19,engine_overheat
d-1297927q,Hyundai Solaris,economy,petrol,4.12,2014,56308,2017,2341.05,engine_check
f-1056352e,Hyundai Solaris,economy,petrol,4.12,2012,22767,2018,696.56,break_bug
u-2070489i,Volkswagen ID.4 ,premium,electro,5.5,2013,41332,2018,43371.36,electro_bug
C16363758Y,Smart ForTwo,economy,petrol,4.48,2016,94443,2017,637.4,electro_bug
i14933910A,Kia Rio X,economy,petrol,3.94,2015,81129,2018,3470.39,engine_ignition
r-1475357U,Smart ForFour,economy,petrol,4.6,2014,59799,2020,4448.36,break_bug
X61893871I,Smart ForTwo,economy,petrol,3.72,2015,80822,2017,1970.79,another_bug
j-1317678J,Kia Rio,economy,petrol,7.54,2015,80710,2015,3194.95,another_bug
B-1975805X,Kia Rio X-line,economy,petrol,4.4,2014,55413,2017,425.96,break_bug
x-7526060y,Kia Rio X-line,economy,petrol,4.82,2011,12613,2017,2778.57,gear_stick
v-1386883Q,Renault Sandero,standart,petrol,5.42,2011,5819,2020,1298.86,engine_overheat
A-1463575c,Renault Sandero,standart,petrol,4.92,2014,62218,2019,3895.83,engine_check
w-9263433r,Renault Sandero,standart,petrol,4.34,2012,26336,2020,1640.48,another_bug
w19872753k,Kia Rio X-line,economy,petrol,3.6,2011,7238,2017,1361.57,engine_check
C-7911141r,VW Tiguan,economy,petrol,4.42,2017,119510,2019,3961.67,engine_check
s-1960417S,Audi Q3,premium,petrol,4.58,2013,41338,2017,13642.93,engine_check
a-8546767B,VW Polo VI,economy,petrol,5.64,2012,20652,2014,2950.13,engine_check
F93868144g,Renault Sandero,standart,petrol,3.36,2012,26471,2020,1041.31,break_bug
T-2012068H,VW Polo,economy,petrol,4.52,2015,74201,2017,1870.04,another_bug
w38704997k,Hyundai Solaris,economy,petrol,2.66,2015,79590,2022,2512.78,another_bug
R14058273F,VW Polo,economy,petrol,3.7,2012,18288,2015,1920.5,break_bug
Y-1582411z,Smart ForFour,economy,petrol,2.98,2016,115362,2015,7876.67,engine_ignition
Q14512280H,Kia Sportage,standart,petrol,3.56,2015,72243,2016,1448.03,electro_bug
S18780622c,Kia Sportage,standart,petrol,4.34,2014,63740,2020,3504.3,engine_ignition
K20448785V,Smart ForFour,economy,petrol,3.5,2017,122283,2018,1366.23,engine_fuel
c95874857y,Nissan Qashqai,standart,petrol,4.16,2014,58200,2016,9907.26,engine_ignition
g25517695C,Mercedes-Benz E200,business,petrol,4.36,2014,60420,2020,5245.79,engine_overheat
R-1442786V,VW Polo VI,economy,petrol,4.36,2011,7998,2020,4461.76,engine_check
g-2283000q,Tesla Model 3,premium,electro,5.44,2015,75113,2020,19573.48,gear_stick
I-9353552N,Renault Sandero,standart,petrol,5.42,2011,3429,2019,957.69,engine_overheat
n-1751164y,Smart ForTwo,economy,petrol,4.58,2015,87819,2017,1684.13,gear_stick
E-2364794p,Smart Coupe,economy,petrol,6.02,2017,127810,2020,3553.83,engine_ignition
Z10584890Y,Kia Rio X,economy,petrol,2.0,2015,82218,2017,681.36,engine_fuel
r21240148Z,Fiat 500,business,petrol,2.74,2013,40716,2020,4748.78,gear_stick
d13892145k,VW Polo VI,economy,petrol,3.96,2011,1319,2015,424.15,wheel_shake
N10423478l,MINI CooperSE,business,electro,4.08,2012,19131,2018,10025.81,break_bug
X45507052P,Smart ForTwo,economy,petrol,4.82,2015,90474,2015,2080.47,electro_bug
w-1247054B,Smart ForFour,economy,petrol,4.96,2016,95216,2022,803.92,gear_stick
k-7428263u,Smart ForTwo,economy,petrol,5.38,2017,114016,2020,509.91,engine_fuel
I-1834975z,Mercedes-Benz GLC,business,petrol,4.0,2013,43345,2021,4080.38,electro_bug
X21759757Y,Kia Rio X,economy,petrol,2.26,2012,29307,2019,6995.37,engine_ignition
g16808805U,Kia Rio,economy,petrol,2.64,2015,97573,2016,1338.32,another_bug
t15817307U,Renault Kaptur,standart,petrol,4.46,2015,79278,2019,9697.6,engine_check
K12580160n,Kia Sportage,standart,petrol,4.08,2014,66550,2021,1731.07,gear_stick
v24501032Z,Smart ForFour,economy,petrol,4.0,2014,66762,2020,5098.96,engine_ignition
r-1234134E,Kia Rio X-line,economy,petrol,6.1,2014,63024,2016,875.84,gear_stick
F-4368553P,Kia Rio X,economy,petrol,3.16,2015,74617,2016,903.64,gear_stick
e19460921k,Renault Kaptur,standart,petrol,2.6,2013,37289,2018,604.53,break_bug
l60900580P,VW Polo,economy,petrol,3.46,2011,7092,2015,528.94,break_bug
L-1528963w,Kia Rio,economy,petrol,4.72,2011,925,2017,672.92,break_bug
h-5894617f,Kia Sportage,standart,petrol,5.68,2013,40935,2017,2908.99,engine_ignition
s-4342091J,Renault Kaptur,standart,petrol,5.4,2014,63713,2016,1857.19,another_bug
d19132071d,Nissan Qashqai,standart,petrol,3.84,2014,58745,2017,3281.18,engine_overheat
T17230987N,Hyundai Solaris,economy,petrol,3.16,2015,82226,2015,1069.23,break_bug
y-9963220p,Kia Sportage,standart,petrol,4.0,2013,42627,2018,2035.26,gear_stick
e47564578c,Renault Kaptur,standart,petrol,4.04,2011,1592,2019,715.61,gear_stick
A-1925405h,Nissan Qashqai,standart,petrol,5.12,2012,28735,2016,2737.5,engine_overheat
K-1675111t,Mercedes-Benz E200,business,petrol,4.36,2011,1108,2017,19927.9,engine_check
H97009055R,VW Polo VI,economy,petrol,3.14,2012,25098,2015,2037.83,another_bug
I19047773k,VW Polo VI,economy,petrol,4.12,2013,44204,2018,1375.76,wheel_shake
n-4539806B,Kia Sportage,standart,petrol,5.24,2014,56573,2019,1978.9,engine_check
i-1648732d,Renault Kaptur,standart,petrol,4.7,2011,391,2016,1197.54,break_bug
e16769908F,Renault Kaptur,standart,petrol,3.74,2013,38579,2018,3362.7,engine_check
F16255698J,Kia Rio X,economy,petrol,3.74,2015,76975,2014,2631.06,engine_ignition
G62687264j,Skoda Rapid,economy,petrol,4.06,2017,132475,2020,2309.64,engine_check
o-1192530z,Renault Sandero,standart,petrol,4.48,2013,46303,2016,1026.12,engine_fuel
I-3923390F,VW Polo,economy,petrol,4.64,2011,3491,2019,2421.42,gear_stick
O-4279569M,VW Polo VI,economy,petrol,3.88,2015,88560,2016,6596.56,gear_stick
H16125822e,Smart ForFour,economy,petrol,3.34,2014,66772,2016,2222.54,engine_check
o86542160V,Hyundai Solaris,economy,petrol,2.98,2015,79303,2016,1073.98,gear_stick
G13398649k,VW Polo,economy,petrol,4.2,2014,65872,2017,3141.07,engine_ignition
a11345005q,Audi A4,premium,petrol,3.36,2015,85135,2018,38086.11,engine_ignition
I-1647122N,VW Tiguan,economy,petrol,4.6,2017,124126,2020,3311.52,break_bug
j39765515y,Kia Sportage,standart,petrol,4.56,2015,92775,2016,860.41,break_bug
s22685968d,Skoda Rapid,economy,petrol,3.62,2014,61312,2018,5062.14,electro_bug
Z-3081671k,Nissan Qashqai,standart,petrol,5.9,2014,64192,2016,3768.63,another_bug
q14945093N,VW Polo VI,economy,petrol,3.68,2014,67385,2018,1451.4,wheel_shake
F72202302t,Smart ForTwo,economy,petrol,3.88,2017,106430,2019,3694.55,engine_check
l21849080k,Skoda Rapid,economy,petrol,4.26,2017,110513,2017,429.19,break_bug
s54993523h,Smart Coupe,economy,petrol,3.18,2015,78583,2015,2710.48,another_bug
y-1123775i,Renault Kaptur,standart,petrol,6.24,2014,61969,2016,1118.11,gear_stick
M14149808l,Kia Rio X,economy,petrol,1.78,2011,5986,2014,3685.74,electro_bug
M20404037C,Kia Rio X,economy,petrol,3.98,2013,47147,2015,2137.62,engine_check
b-1571829x,Mercedes-Benz E200,business,petrol,5.06,2012,19825,2020,1244.31,gear_stick
s16958043k,VW Polo VI,economy,petrol,4.32,2011,2383,2016,2794.87,gear_stick
Y-1266722f,Renault Kaptur,standart,petrol,5.56,2015,83397,2016,2237.85,electro_bug
d10076210Q,Hyundai Solaris,economy,petrol,5.02,2015,72982,2020,2034.85,engine_overheat
H10820003r,Kia Rio X,economy,petrol,4.04,2014,63167,2019,5380.57,engine_ignition
W10593018G,Skoda Rapid,economy,petrol,3.22,2017,112114,2017,2656.65,engine_check
s-5287107D,Kia Rio,economy,petrol,4.64,2015,84095,2016,695.22,wheel_shake
U66280408d,Renault Kaptur,standart,petrol,2.96,2011,4379,2018,6258.17,break_bug
D-1146124x,VW Polo VI,economy,petrol,5.02,2014,57906,2020,9911.58,another_bug
Q-2259244S,Kia Rio X-line,economy,petrol,4.66,2011,4219,2019,515.35,engine_fuel
D-7559160p,Smart ForTwo,economy,petrol,4.92,2017,130293,2016,559.04,gear_stick
h13839988K,Kia Rio X,economy,petrol,2.02,2012,22163,2019,1383.52,break_bug
H72631192M,Kia Rio X,economy,petrol,4.2,2015,79899,2020,963.2,engine_fuel
L-4889905g,VW Tiguan,economy,petrol,4.72,2016,98453,2020,1200.35,wheel_shake
z21607339H,Smart Coupe,economy,petrol,4.44,2017,113777,2017,1484.51,wheel_shake
p-3327570V,Skoda Rapid,economy,petrol,5.74,2014,56089,2019,530.52,break_bug
g12467053Z,BMW 320i,business,petrol,3.66,2017,121293,2018,4759.11,engine_overheat
N21846215c,Mini Cooper,business,petrol,4.46,2015,80359,2019,26970.25,engine_ignition
i-2453146k,Skoda Rapid,economy,petrol,4.02,2015,79308,2017,3591.29,engine_overheat
m20786215a,Smart Coupe,economy,petrol,3.9,2015,88518,2021,5488.2,engine_ignition
n20592045x,VW Polo VI,economy,petrol,3.78,2013,38272,2014,1858.85,gear_stick
H22026851l,Kia Rio X,economy,petrol,3.86,2015,88481,2017,2583.5,engine_check
E51339321G,Smart Coupe,economy,petrol,3.64,2013,44794,2021,12075.77,another_bug
k27919049d,Skoda Rapid,economy,petrol,4.96,2015,77223,2015,833.86,electro_bug
c33662054g,VW Polo VI,economy,petrol,4.28,2012,20622,2018,873.27,break_bug
S12759270J,Nissan Qashqai,standart,petrol,3.0,2015,73263,2015,6702.48,engine_ignition
M-1009693J,Kia Rio,economy,petrol,5.44,2015,72820,2020,2673.92,electro_bug
H82330164N,Smart ForFour,economy,petrol,2.74,2017,128991,2016,2590.83,engine_check
Q-1696362K,Skoda Rapid,economy,petrol,4.82,2013,39096,2018,2300.15,gear_stick
a-1300283K,Kia Rio X-line,economy,petrol,5.02,2014,59340,2017,4911.78,engine_ignition
