car_type,fuel_type,car_rating,year_to_start,riders,car_id,model,target_class,year_to_work,target_reg
standart,petrol,4.7,2015,84786,y-3838245t,Kia Sportage,engine_overheat,2021,36.86020915472845
economy,petrol,4.5,2014,65491,b-2719977Z,Kia Rio X,another_bug,2020,63.16834068664897
economy,petrol,5.1,2015,88451,D-2109758O,VW Tiguan,engine_fuel,2020,30.981611267854337
economy,petrol,3.82,2012,18403,M89853598O,Kia Rio X,engine_overheat,2018,51.84236692099599
economy,petrol,3.94,2011,8160,x12397432S,VW Polo VI,engine_fuel,2017,29.39114585085101
standart,petrol,4.02,2011,656,Q50389908q,Renault Kaptur,another_bug,2018,61.56816367420525
standart,petrol,4.04,2013,41088,B18597537S,Nissan Qashqai,break_bug,2020,26.114765429641537
standart,petrol,4.12,2011,251,z34396656x,Nissan Qashqai,engine_ignition,2015,59.69353238355118
standart,petrol,5.26,2013,44717,S-9537522o,Renault Kaptur,another_bug,2021,62.20070008024554
economy,petrol,3.0,2015,71998,a10623296X,Hyundai Solaris,electro_bug,2019,20.758606284257354
economy,petrol,5.3,2014,74608,R28123139u,VW Polo,engine_fuel,2017,33.50936775161693
economy,petrol,5.26,2012,28216,S19803153J,Hyundai Solaris,another_bug,2015,75.90477684720909
economy,petrol,4.48,2016,105035,y35650754l,VW Tiguan,wheel_shake,2018,53.176019245303195
standart,petrol,4.16,2012,22581,h-1451730v,Renault Sandero,gear_stick,2017,40.17145173398313
economy,petrol,5.56,2016,94354,U-1719392C,Skoda Rapid,engine_overheat,2021,39.355806719452325
economy,petrol,3.62,2014,58269,Q12359942h,Kia Rio,electro_bug,2019,34.12965251833768
economy,petrol,4.58,2011,4083,F-2082660j,Kia Rio X,engine_ignition,2016,58.7754479127459
standart,petrol,4.48,2013,43208,d-1257449w,Kia Sportage,engine_fuel,2017,41.208373936044744
economy,petrol,3.34,2016,93681,C15164392z,Skoda Rapid,electro_bug,2014,30.296656140634717
economy,petrol,3.96,2016,101999,N11419190t,Skoda Rapid,break_bug,2021,43.95831548913939
economy,petrol,4.54,2015,76585,k63904133P,Smart ForFour,another_bug,2018,64.75757855458055
economy,petrol,2.56,2015,86940,J92413639E,Hyundai Solaris,engine_fuel,2019,32.532363109500906
standart,petrol,5.4,2015,82876,b-3875784F,Renault Sandero,another_bug,2017,83.42676801565273
economy,petrol,4.98,2016,106858,A-6969550V,Smart ForFour,engine_overheat,2014,34.78896650938319
economy,petrol,3.7,2014,67173,f15183722K,Kia Rio,wheel_shake,2015,39.969002325800304
economy,petrol,4.3,2013,45047,c-1874297z,Skoda Rapid,another_bug,2020,77.80671113828548
business,petrol,4.04,2011,57,E16971328N,Mercedes-Benz GLC,break_bug,2022,46.346658894339114
standart,petrol,4.56,2012,22533,H21489304G,Renault Kaptur,another_bug,2020,67.57643989383703
economy,petrol,3.4,2017,127643,H18110876A,Smart ForFour,another_bug,2020,87.78775702033866
economy,petrol,3.06,2017,109500,P-1301418D,Skoda Rapid,engine_ignition,2015,57.02977587376138
economy,petrol,5.7,2013,48487,Y-4731644Z,Kia Rio X,electro_bug,2019,36.60921193392343
standart,petrol,4.32,2011,3171,b-9697936F,Renault Sandero,electro_bug,2018,33.696239539104944
standart,petrol,5.8,2012,21154,Y-1002609O,Renault Kaptur,gear_stick,2018,25.699899891107293
economy,petrol,4.56,2014,65861,H-4258275m,Kia Rio,electro_bug,2020,25.66800429862463
economy,petrol,3.46,2017,111468,q11941907L,Skoda Rapid,engine_ignition,2017,60.73863364105762
economy,petrol,3.92,2017,115432,H10655858l,Smart ForTwo,electro_bug,2016,27.803602222471547
economy,petrol,3.22,2014,55735,W17831606Y,Hyundai Solaris,another_bug,2016,99.11638536838443
economy,petrol,4.54,2012,19239,u-1788771U,VW Polo,engine_fuel,2018,32.90510522434976
economy,petrol,5.12,2012,19918,F-1257166O,Kia Rio X,engine_overheat,2015,34.73769224908209
standart,petrol,4.68,2014,59221,k82740809C,Renault Sandero,engine_fuel,2015,37.76247783684238
standart,petrol,3.36,2011,6019,A13746070T,Renault Sandero,break_bug,2021,26.796949844680203
standart,petrol,3.72,2015,75739,E-1356165C,Kia Sportage,break_bug,2016,34.75933153242511
standart,petrol,5.18,2013,44612,w-1247670S,Nissan Qashqai,engine_overheat,2016,51.50525334324792
economy,petrol,4.62,2014,56626,t11173721p,Kia Rio X,engine_overheat,2018,35.01899552160708
economy,petrol,4.4,2012,22241,w-1481290E,Kia Rio X-line,engine_fuel,2016,37.81177426347306
economy,petrol,4.58,2013,40331,C40885722w,Kia Rio X,wheel_shake,2019,32.153057818513574
economy,petrol,5.84,2013,38431,i-1340626g,Smart ForTwo,electro_bug,2020,36.463350273402256
economy,petrol,4.62,2015,87418,G11530237Q,VW Polo VI,engine_fuel,2019,30.67102225741174
economy,petrol,4.28,2011,7746,f15625319Q,VW Polo VI,engine_check,2020,66.52042961869572
economy,petrol,4.86,2014,63075,z-1854947J,Smart Coupe,another_bug,2020,98.99938811689611
economy,petrol,3.26,2013,40066,B42019578p,Kia Rio X,engine_overheat,2017,24.063211619496066
economy,petrol,4.52,2011,8768,G-1102710u,VW Polo,electro_bug,2020,24.646136244180585
economy,petrol,3.9,2017,125978,T65731704H,Smart Coupe,engine_overheat,2017,40.68707351153773
economy,petrol,2.54,2012,25458,e30424190o,Kia Rio X,wheel_shake,2022,46.34697378896767
economy,petrol,4.46,2013,43385,q-1861373D,Smart ForTwo,another_bug,2016,47.45612348020097
premium,electro,5.8,2014,52932,F-1720906M,Volkswagen ID.4 ,another_bug,2021,100.95458585348398
standart,petrol,4.14,2012,23529,N-1361542t,Kia Sportage,engine_ignition,2015,50.79293283809866
economy,petrol,5.34,2013,38078,b-1432630h,VW Polo,wheel_shake,2019,35.18313402446291
standart,petrol,4.38,2014,57212,h-5381376K,Kia Sportage,engine_ignition,2020,68.67192895311643
economy,petrol,5.78,2015,85556,P-1870462h,Hyundai Solaris,break_bug,2020,49.522636484948634
economy,petrol,4.18,2013,37427,w-1081221i,Smart Coupe,engine_ignition,2020,59.01660881943938
economy,petrol,3.28,2012,20979,E48110445u,Hyundai Solaris,electro_bug,2020,36.97777918948125
economy,petrol,4.42,2013,43498,v-9248915k,Kia Rio,gear_stick,2018,30.81134091626967
economy,petrol,5.38,2014,61307,K51907129A,Smart ForTwo,electro_bug,2021,34.832821505236545
economy,petrol,3.6,2014,55858,u73256394H,Smart ForFour,engine_check,2020,58.385435518699886
economy,petrol,3.68,2015,76475,X-1892335q,Hyundai Solaris,engine_overheat,2019,34.298749314146235
economy,petrol,2.58,2015,94165,m17237645h,VW Polo,electro_bug,2014,29.35446525046636
premium,electro,4.68,2014,68359,q-1403429B,Tesla Model 3,engine_check,2019,69.39050945141322
standart,petrol,5.82,2012,23366,E-1889080W,Kia Sportage,engine_ignition,2021,51.905750752813056
economy,petrol,3.9,2015,85592,v19385068r,Smart ForTwo,wheel_shake,2016,34.63197660112529
economy,petrol,3.96,2015,82062,m-9741436p,Kia Rio X-line,electro_bug,2014,37.653391066997926
economy,petrol,4.04,2013,40885,I13605989C,VW Tiguan,wheel_shake,2022,46.37363039522615
economy,petrol,5.16,2013,38432,C-1374739x,Hyundai Solaris,another_bug,2015,79.83584691796986
economy,petrol,3.44,2013,47064,h20080273C,Kia Rio,wheel_shake,2020,31.3492021046819
economy,petrol,4.7,2017,109697,g-1944591e,Skoda Rapid,engine_overheat,2021,55.77918597058152
economy,petrol,3.42,2012,22261,b17225071g,VW Polo VI,gear_stick,2014,26.069568645315936
business,petrol,3.26,2013,48070,O13657804w,Mini Cooper,engine_overheat,2016,52.87716690809197
standart,petrol,5.14,2011,18628,V-7306183J,Renault Sandero,engine_fuel,2020,37.62288999838153
economy,petrol,3.48,2017,128159,A56074965v,Skoda Rapid,engine_fuel,2017,31.044258203840304
economy,petrol,4.02,2015,80183,f19927901y,Smart Coupe,engine_fuel,2017,46.50997553651644
economy,petrol,4.46,2012,20105,b-1781291I,Kia Rio X,engine_fuel,2015,24.542071253594184
economy,petrol,3.62,2014,58507,P77959737c,Kia Rio,engine_fuel,2021,32.433906098701044
economy,petrol,3.96,2017,134081,h17474551u,Smart ForTwo,another_bug,2021,91.35036762587052
economy,petrol,3.18,2016,103304,d17705773B,Smart ForFour,another_bug,2019,81.14399913435018
economy,petrol,4.92,2016,89099,s-2080909j,VW Tiguan,engine_ignition,2022,64.5914814499527
standart,petrol,3.06,2015,73387,N18448941g,Renault Kaptur,break_bug,2017,22.969431470442025
economy,petrol,4.98,2012,20772,a-7058206h,Kia Rio X,engine_check,2016,50.8749137268285
economy,petrol,4.02,2015,72800,a55365942d,Hyundai Solaris,engine_fuel,2020,29.366751637054374
economy,petrol,3.36,2017,133055,P17953716g,Skoda Rapid,wheel_shake,2016,32.997822436796866
economy,petrol,3.18,2016,97354,i94781425U,VW Tiguan,wheel_shake,2022,25.34655194782978
standart,petrol,5.36,2013,48763,L-2155385D,Renault Sandero,engine_check,2020,47.571236015992845
economy,petrol,3.76,2014,60521,Q21449479D,Kia Rio X-line,break_bug,2020,44.63308547255288
economy,petrol,5.64,2014,66305,z-1220018d,VW Polo VI,wheel_shake,2020,38.21985652512923
economy,petrol,3.18,2011,109,R21058725x,Kia Rio,engine_overheat,2016,29.612297913572995
standart,petrol,5.94,2014,67438,z-1790906x,Renault Sandero,engine_check,2016,59.79008504133691
economy,petrol,5.22,2013,41121,b-2371028p,Smart ForFour,engine_ignition,2017,51.0584177703824
economy,petrol,4.92,2015,86410,C-4338027c,Smart Coupe,another_bug,2018,72.0250155033448
economy,petrol,2.14,2016,105296,F13621020y,Smart ForFour,electro_bug,2017,32.28783633747994
economy,petrol,4.18,2015,78338,G43865383Q,Kia Rio,electro_bug,2018,32.492402068900496
economy,petrol,3.04,2015,84778,e78313402L,Kia Rio X,wheel_shake,2020,27.479919814483015
economy,petrol,5.34,2016,111744,P-1981563m,Skoda Rapid,another_bug,2014,84.03221038839267
economy,petrol,3.12,2015,80270,d-6672088A,Kia Rio X,engine_fuel,2019,47.339676680128804
standart,petrol,3.34,2014,66554,B20284663C,Kia Sportage,another_bug,2016,87.29778553866932
economy,petrol,4.34,2013,41482,b-8415196u,Smart ForFour,another_bug,2019,87.702597747041
economy,petrol,4.6,2017,111010,X-5672837D,Smart ForTwo,wheel_shake,2018,30.42780667896385
economy,petrol,4.66,2013,46735,f-8313064a,Kia Rio X-line,gear_stick,2018,27.402431275961636
standart,petrol,2.9,2014,57267,S16867324D,Renault Sandero,engine_overheat,2018,36.108825663043234
standart,petrol,3.82,2011,308,l81011564d,Renault Sandero,engine_check,2019,46.244181319071274
economy,petrol,4.68,2015,87914,T-7878324V,VW Polo VI,break_bug,2015,32.54833142541747
economy,petrol,4.28,2012,25882,N18957837j,VW Polo,engine_fuel,2017,44.69233849292098
economy,petrol,2.94,2016,95904,v69592222X,Smart ForFour,another_bug,2019,67.07865839721305
premium,electro,3.58,2016,89811,n19871201N,Tesla Model 3,another_bug,2018,100.4234015675904
economy,petrol,3.62,2014,58329,X49290901c,Smart ForFour,gear_stick,2019,33.816442754659924
economy,petrol,3.14,2014,77244,N15373595s,Kia Rio X-line,engine_fuel,2021,44.50736590373477
economy,petrol,6.04,2014,61877,A-1683178f,Smart ForTwo,engine_check,2015,56.552798076866566
economy,petrol,4.9,2013,37330,g-1912309G,VW Polo,break_bug,2021,21.040461814006047
standart,petrol,4.76,2013,46432,c-1462399e,Kia Sportage,engine_ignition,2016,52.489123225759414
economy,petrol,4.72,2016,111683,C38293729H,Smart ForTwo,engine_fuel,2016,43.0649995780763
economy,petrol,4.4,2014,55154,M-4645533N,Hyundai Solaris,break_bug,2021,31.347843948146146
economy,petrol,3.96,2017,131468,G23848056z,VW Tiguan,engine_fuel,2021,38.01776573558592
business,petrol,5.16,2015,80937,i22101695X,Fiat 500,engine_check,2022,54.71413942887852
economy,petrol,4.24,2014,67050,w-3530598y,Smart ForFour,gear_stick,2018,35.08420627982823
standart,petrol,3.86,2012,22419,c22334367p,Renault Sandero,engine_overheat,2019,44.319813010876146
economy,petrol,4.0,2012,19243,S61532080S,Hyundai Solaris,engine_overheat,2014,44.97228609552831
economy,petrol,5.3,2012,22234,W-3482364r,Kia Rio X,another_bug,2022,108.0581828906627
economy,petrol,3.26,2015,79312,s-4092655x,Smart Coupe,another_bug,2020,56.70616003848686
economy,petrol,3.96,2015,88164,v60921451s,Kia Rio X,engine_fuel,2020,36.973327840197506
standart,petrol,5.14,2013,40792,A-5309696c,Renault Kaptur,another_bug,2018,104.69337271396125
economy,petrol,3.56,2014,66295,a21437857o,Smart ForTwo,break_bug,2017,34.11243430337161
standart,petrol,4.04,2011,1445,r-2049651S,Nissan Qashqai,engine_fuel,2018,35.88290320329439
economy,petrol,5.28,2015,76719,r-1098555x,VW Polo,engine_fuel,2020,27.2470727518393
economy,petrol,3.24,2017,135275,c48174687o,Smart ForFour,another_bug,2017,50.022264164972995
premium,petrol,1.98,2013,53205,n57986901A,Audi Q3,break_bug,2021,50.56366142154574
economy,petrol,5.62,2015,77620,J-2221564E,Smart ForTwo,engine_ignition,2016,50.80092271735556
economy,petrol,2.36,2017,109830,t89744603y,Smart ForFour,another_bug,2018,79.11110980364532
economy,petrol,2.2,2012,22872,R22777636m,Kia Rio X,wheel_shake,2022,23.546218675881946
economy,petrol,4.14,2015,87419,g95201799l,Kia Rio X-line,engine_ignition,2020,57.778612190328246
economy,petrol,4.12,2013,46129,J43552505w,Kia Rio,electro_bug,2019,29.602568963327407
business,petrol,3.92,2014,65659,X69815445k,Mercedes-Benz E200,engine_ignition,2017,76.44048563565435
economy,petrol,3.92,2011,426,Y31463755z,Kia Rio X,engine_check,2017,56.74532912775638
economy,petrol,3.42,2015,90601,b18050488U,Skoda Rapid,break_bug,2020,20.994576476556382
standart,petrol,5.4,2015,87185,C-1846243L,Renault Kaptur,electro_bug,2017,41.103234149415634
standart,petrol,4.7,2013,46648,C-2187827F,Kia Sportage,engine_fuel,2019,36.64201437002158
standart,petrol,4.12,2015,81653,a-6471303K,Renault Sandero,engine_ignition,2016,57.56045732741431
economy,petrol,4.16,2017,132600,u16335953I,VW Tiguan,engine_overheat,2019,56.976535774073
economy,petrol,4.62,2017,116459,z10378875g,Skoda Rapid,gear_stick,2018,37.442741264970266
economy,petrol,4.36,2011,1439,Z-1478978u,Kia Rio,another_bug,2017,72.58714969822219
economy,petrol,5.72,2013,43256,B-1843237q,VW Tiguan,electro_bug,2018,38.751702579260765
economy,petrol,5.24,2017,124530,u-1774078g,Smart ForFour,another_bug,2015,64.37782146132683
economy,petrol,4.84,2013,38486,I-8201538D,Kia Rio X,gear_stick,2019,28.860370809885065
economy,petrol,4.82,2015,74448,k-7853395L,Kia Rio,engine_check,2021,48.302671383954774
economy,petrol,4.9,2015,71857,H-3154020d,Smart ForFour,engine_fuel,2021,38.600067526066745
economy,petrol,4.46,2011,11754,e13179173i,VW Polo VI,engine_ignition,2017,49.940447684589294
standart,petrol,4.68,2012,24399,v11532085a,Renault Sandero,engine_fuel,2017,28.942118574873803
economy,petrol,5.96,2012,20930,V-9361538G,Kia Rio X-line,break_bug,2018,20.391969930753223
standart,petrol,3.38,2013,43909,C22072062B,Nissan Qashqai,engine_ignition,2020,53.232248183779944
standart,petrol,3.78,2015,86476,E68314843q,Kia Sportage,engine_ignition,2018,62.7739156867052
economy,petrol,3.52,2013,47288,k88534152q,VW Polo,wheel_shake,2019,37.957872388687754
economy,petrol,4.74,2015,79919,o-1004837T,Kia Rio X-line,engine_overheat,2022,29.959811753230202
standart,petrol,4.52,2013,39913,E15850759P,Kia Sportage,another_bug,2020,69.51384274945657
economy,petrol,3.3,2015,72427,S11046237d,VW Polo,gear_stick,2015,29.193369894588603
standart,petrol,4.08,2015,71427,q12920406o,Kia Sportage,electro_bug,2017,38.92361865972512
economy,petrol,5.28,2013,47865,u-1057398c,Smart ForFour,engine_ignition,2017,49.322922064623135
economy,petrol,4.84,2014,75338,i19615927E,VW Tiguan,wheel_shake,2017,52.92182392531171
economy,petrol,4.3,2015,88693,s-3746188l,Smart ForFour,break_bug,2015,24.554500812652833
economy,petrol,1.78,2013,46640,h24674210l,Hyundai Solaris,wheel_shake,2016,42.92803380917969
economy,petrol,2.32,2017,129623,j37934708f,Smart ForFour,engine_ignition,2019,64.17784724623861
business,petrol,5.02,2011,3528,j-1003273K,Mini Cooper,another_bug,2022,88.9920332679589
economy,petrol,3.56,2013,36751,i18120580r,Smart Coupe,engine_fuel,2015,39.78804363333216
economy,petrol,5.52,2017,126000,M-2125716U,Smart ForFour,gear_stick,2015,31.66719214412303
economy,petrol,5.56,2012,21871,A-6734908O,VW Polo,engine_check,2016,40.78339605690078
economy,petrol,4.6,2012,26917,t35781257E,Kia Rio,engine_overheat,2021,34.63216980423965
economy,petrol,3.06,2013,39692,f82085811L,VW Polo,engine_check,2016,63.21926143306518
standart,petrol,5.02,2015,79029,T-1299777v,Kia Sportage,electro_bug,2019,28.239427142264336
economy,petrol,4.9,2017,121088,S-7977049s,VW Tiguan,engine_fuel,2019,36.33789104378968
standart,petrol,4.44,2012,21820,H10411834F,Renault Sandero,engine_ignition,2021,89.90528775975324
economy,petrol,3.7,2015,84312,o29701218V,Kia Rio X,electro_bug,2016,31.631782332574407
standart,petrol,2.82,2015,81505,i21928776j,Kia Sportage,gear_stick,2017,30.19853605050436
standart,petrol,4.08,2013,35273,y11348057n,Renault Sandero,engine_check,2022,43.797345942098765
economy,petrol,4.54,2011,7610,E-1304820y,Kia Rio X-line,gear_stick,2015,35.28335058627905
economy,petrol,4.24,2011,5693,a-1515400J,VW Polo,engine_overheat,2018,35.96369968982722
economy,petrol,3.7,2015,74119,S17262804N,Skoda Rapid,wheel_shake,2019,47.49678489638206
economy,petrol,4.4,2016,115249,W14795073t,Skoda Rapid,engine_ignition,2016,54.93292273860123
economy,petrol,3.8,2017,112276,V56226787D,Smart ForFour,engine_fuel,2018,29.616067593405894
economy,petrol,4.72,2012,22087,u-1594350q,Kia Rio X-line,engine_fuel,2018,58.008575760019916
economy,petrol,4.56,2014,61847,I-9571675o,Kia Rio,electro_bug,2018,34.09926940517278
economy,petrol,6.06,2016,99986,a-1832317K,Skoda Rapid,break_bug,2020,23.855646238597373
business,petrol,5.82,2011,6253,H-9271579x,Mercedes-Benz E200,engine_check,2022,57.80325734975305
economy,petrol,2.78,2016,100271,H15689477U,Smart Coupe,another_bug,2019,75.34927500005601
standart,petrol,5.1,2014,61866,J-8699353u,Nissan Qashqai,electro_bug,2015,27.130112748502935
standart,petrol,5.06,2012,26018,S-6497022N,Nissan Qashqai,gear_stick,2016,29.337925957601172
business,petrol,4.96,2013,39729,j-1145477E,Mercedes-Benz GLC,engine_fuel,2021,33.686985327758975
economy,petrol,3.62,2017,127194,a-7125351Z,VW Tiguan,engine_ignition,2020,71.11455832279884
standart,petrol,3.06,2015,73868,g11521087z,Kia Sportage,engine_overheat,2017,24.18594818247365
economy,petrol,5.0,2012,25439,Q-1114187O,Kia Rio,wheel_shake,2020,27.572689584621813
standart,petrol,4.32,2013,40977,C73458374Q,Kia Sportage,engine_check,2015,43.04801432106236
economy,petrol,4.34,2013,45381,H42487546s,Kia Rio X-line,electro_bug,2016,31.900259749115527
standart,petrol,4.22,2013,46259,f-4873956c,Nissan Qashqai,engine_fuel,2015,24.347667822967388
economy,petrol,5.16,2011,6954,n-2171056h,Kia Rio X-line,gear_stick,2015,31.529944269773218
standart,petrol,4.72,2011,4209,B18328752a,Renault Kaptur,break_bug,2022,33.60975750820609
standart,petrol,4.9,2012,18353,a-1510716r,Renault Kaptur,electro_bug,2019,30.423483555797528
economy,petrol,4.02,2017,123925,G12673775u,VW Tiguan,another_bug,2020,79.89923596875626
economy,petrol,4.24,2017,113201,N-4929388x,VW Tiguan,engine_overheat,2021,35.408793590921206
standart,petrol,4.92,2015,75259,V-1604890W,Renault Sandero,gear_stick,2022,31.83196029499748
business,petrol,4.02,2014,58695,s-1723833v,BMW 320i,engine_check,2020,46.24106144356284
economy,petrol,4.8,2014,57812,o-8858693p,Skoda Rapid,break_bug,2022,24.38600943794411
economy,petrol,4.26,2016,95192,F84870593a,VW Tiguan,break_bug,2019,29.135647484223846
standart,petrol,2.02,2012,19528,j17532274g,Renault Kaptur,another_bug,2021,71.45526436138682
standart,petrol,4.7,2014,75248,N15139629D,Renault Sandero,engine_overheat,2018,26.599164448792788
premium,petrol,6.02,2014,67985,z-3170763V,Audi A4,gear_stick,2021,36.64081162598415
economy,petrol,3.3,2016,88131,l-1283385g,Smart ForFour,gear_stick,2019,24.142890693282567
