car_type,fuel_type,car_rating,year_to_start,riders,car_id,model,target_reg,target_class,year_to_work
standart,petrol,3.72,2015,75739,E-1356165C,Kia Sportage,0,break_bug,2016
standart,petrol,5.18,2013,44612,w-1247670S,Nissan Qashqai,0,engine_overheat,2016
economy,petrol,4.62,2014,56626,t11173721p,Kia Rio X,0,engine_overheat,2018
economy,petrol,4.4,2012,22241,w-1481290E,Kia Rio X-line,0,engine_fuel,2016
economy,petrol,4.58,2013,40331,C40885722w,Kia Rio X,0,wheel_shake,2019
economy,petrol,5.84,2013,38431,i-1340626g,Smart ForTwo,0,electro_bug,2020
economy,petrol,4.62,2015,87418,G11530237Q,VW Polo VI,1,engine_fuel,2019
economy,petrol,4.28,2011,7746,f15625319Q,VW Polo VI,0,engine_check,2020
economy,petrol,4.86,2014,63075,z-1854947J,Smart Coupe,0,another_bug,2020
economy,petrol,3.26,2013,40066,B42019578p,Kia Rio X,0,engine_overheat,2017
economy,petrol,4.52,2011,8768,G-1102710u,VW Polo,0,electro_bug,2020
economy,petrol,3.9,2017,125978,T65731704H,Smart Coupe,0,engine_overheat,2017
economy,petrol,2.54,2012,25458,e30424190o,Kia Rio X,0,wheel_shake,2022
economy,petrol,4.46,2013,43385,q-1861373D,Smart ForTwo,0,another_bug,2016
premium,electro,5.8,2014,52932,F-1720906M,Volkswagen ID.4 ,0,another_bug,2021
standart,petrol,4.14,2012,23529,N-1361542t,Kia Sportage,0,engine_ignition,2015
economy,petrol,5.34,2013,38078,b-1432630h,VW Polo,1,wheel_shake,2019
standart,petrol,4.38,2014,57212,h-5381376K,Kia Sportage,0,engine_ignition,2020
economy,petrol,5.78,2015,85556,P-1870462h,Hyundai Solaris,0,break_bug,2020
economy,petrol,4.18,2013,37427,w-1081221i,Smart Coupe,0,engine_ignition,2020
economy,petrol,3.28,2012,20979,E48110445u,Hyundai Solaris,0,electro_bug,2020
economy,petrol,4.42,2013,43498,v-9248915k,Kia Rio,0,gear_stick,2018
economy,petrol,5.38,2014,61307,K51907129A,Smart ForTwo,0,electro_bug,2021
economy,petrol,3.6,2014,55858,u73256394H,Smart ForFour,0,engine_check,2020
economy,petrol,3.68,2015,76475,X-1892335q,Hyundai Solaris,0,engine_overheat,2019
economy,petrol,2.58,2015,94165,m17237645h,VW Polo,1,electro_bug,2014
premium,electro,4.68,2014,68359,q-1403429B,Tesla Model 3,0,engine_check,2019
standart,petrol,5.82,2012,23366,E-1889080W,Kia Sportage,1,engine_ignition,2021
economy,petrol,3.9,2015,85592,v19385068r,Smart ForTwo,0,wheel_shake,2016
economy,petrol,3.96,2015,82062,m-9741436p,Kia Rio X-line,1,electro_bug,2014
economy,petrol,4.04,2013,40885,I13605989C,VW Tiguan,0,wheel_shake,2022
economy,petrol,5.16,2013,38432,C-1374739x,Hyundai Solaris,0,another_bug,2015
economy,petrol,3.44,2013,47064,h20080273C,Kia Rio,0,wheel_shake,2020
economy,petrol,4.7,2017,109697,g-1944591e,Skoda Rapid,0,engine_overheat,2021
economy,petrol,3.42,2012,22261,b17225071g,VW Polo VI,0,gear_stick,2014
business,petrol,3.26,2013,48070,O13657804w,Mini Cooper,0,engine_overheat,2016
standart,petrol,5.14,2011,18628,V-7306183J,Renault Sandero,0,engine_fuel,2020
economy,petrol,3.48,2017,128159,A56074965v,Skoda Rapid,0,engine_fuel,2017
economy,petrol,4.02,2015,80183,f19927901y,Smart Coupe,0,engine_fuel,2017
economy,petrol,4.46,2012,20105,b-1781291I,Kia Rio X,2,engine_fuel,2015
economy,petrol,3.62,2014,58507,P77959737c,Kia Rio,0,engine_fuel,2021
economy,petrol,3.96,2017,134081,h17474551u,Smart ForTwo,0,another_bug,2021
economy,petrol,3.18,2016,103304,d17705773B,Smart ForFour,0,another_bug,2019
economy,petrol,4.92,2016,89099,s-2080909j,VW Tiguan,0,engine_ignition,2022
standart,petrol,3.06,2015,73387,N18448941g,Renault Kaptur,0,break_bug,2017
economy,petrol,4.98,2012,20772,a-7058206h,Kia Rio X,0,engine_check,2016
economy,petrol,4.02,2015,72800,a55365942d,Hyundai Solaris,0,engine_fuel,2020
economy,petrol,3.36,2017,133055,P17953716g,Skoda Rapid,0,wheel_shake,2016
economy,petrol,3.18,2016,97354,i94781425U,VW Tiguan,0,wheel_shake,2022
standart,petrol,5.36,2013,48763,L-2155385D,Renault Sandero,0,engine_check,2020
economy,petrol,3.76,2014,60521,Q21449479D,Kia Rio X-line,1,break_bug,2020
economy,petrol,5.64,2014,66305,z-1220018d,VW Polo VI,0,wheel_shake,2020
economy,petrol,3.18,2011,109,R21058725x,Kia Rio,0,engine_overheat,2016
standart,petrol,5.94,2014,67438,z-1790906x,Renault Sandero,1,engine_check,2016
economy,petrol,5.22,2013,41121,b-2371028p,Smart ForFour,1,engine_ignition,2017
economy,petrol,4.92,2015,86410,C-4338027c,Smart Coupe,0,another_bug,2018
economy,petrol,2.14,2016,105296,F13621020y,Smart ForFour,1,electro_bug,2017
economy,petrol,4.18,2015,78338,G43865383Q,Kia Rio,0,electro_bug,2018
economy,petrol,3.04,2015,84778,e78313402L,Kia Rio X,0,wheel_shake,2020
economy,petrol,5.34,2016,111744,P-1981563m,Skoda Rapid,0,another_bug,2014
economy,petrol,3.12,2015,80270,d-6672088A,Kia Rio X,0,engine_fuel,2019
standart,petrol,3.34,2014,66554,B20284663C,Kia Sportage,1,another_bug,2016
economy,petrol,4.34,2013,41482,b-8415196u,Smart ForFour,0,another_bug,2019
economy,petrol,4.6,2017,111010,X-5672837D,Smart ForTwo,0,wheel_shake,2018
economy,petrol,4.66,2013,46735,f-8313064a,Kia Rio X-line,1,gear_stick,2018
standart,petrol,2.9,2014,57267,S16867324D,Renault Sandero,0,engine_overheat,2018
standart,petrol,3.82,2011,308,l81011564d,Renault Sandero,0,engine_check,2019
economy,petrol,4.68,2015,87914,T-7878324V,VW Polo VI,0,break_bug,2015
economy,petrol,4.28,2012,25882,N18957837j,VW Polo,0,engine_fuel,2017
economy,petrol,2.94,2016,95904,v69592222X,Smart ForFour,0,another_bug,2019
premium,electro,3.58,2016,89811,n19871201N,Tesla Model 3,0,another_bug,2018
economy,petrol,3.62,2014,58329,X49290901c,Smart ForFour,0,gear_stick,2019
economy,petrol,3.14,2014,77244,N15373595s,Kia Rio X-line,1,engine_fuel,2021
economy,petrol,6.04,2014,61877,A-1683178f,Smart ForTwo,2,engine_check,2015
economy,petrol,4.9,2013,37330,g-1912309G,VW Polo,0,break_bug,2021
standart,petrol,4.76,2013,46432,c-1462399e,Kia Sportage,1,engine_ignition,2016
economy,petrol,4.72,2016,111683,C38293729H,Smart ForTwo,0,engine_fuel,2016
economy,petrol,4.4,2014,55154,M-4645533N,Hyundai Solaris,0,break_bug,2021
economy,petrol,3.96,2017,131468,G23848056z,VW Tiguan,0,engine_fuel,2021
business,petrol,5.16,2015,80937,i22101695X,Fiat 500,0,engine_check,2022
economy,petrol,4.24,2014,67050,w-3530598y,Smart ForFour,0,gear_stick,2018
standart,petrol,3.86,2012,22419,c22334367p,Renault Sandero,1,engine_overheat,2019
economy,petrol,4.0,2012,19243,S61532080S,Hyundai Solaris,1,engine_overheat,2014
economy,petrol,5.3,2012,22234,W-3482364r,Kia Rio X,0,another_bug,2022
economy,petrol,3.26,2015,79312,s-4092655x,Smart Coupe,0,another_bug,2020
economy,petrol,3.96,2015,88164,v60921451s,Kia Rio X,0,engine_fuel,2020
standart,petrol,5.14,2013,40792,A-5309696c,Renault Kaptur,0,another_bug,2018
economy,petrol,3.56,2014,66295,a21437857o,Smart ForTwo,0,break_bug,2017
standart,petrol,4.04,2011,1445,r-2049651S,Nissan Qashqai,0,engine_fuel,2018
economy,petrol,5.28,2015,76719,r-1098555x,VW Polo,1,engine_fuel,2020
economy,petrol,3.24,2017,135275,c48174687o,Smart ForFour,0,another_bug,2017
premium,petrol,1.98,2013,53205,n57986901A,Audi Q3,1,break_bug,2021
economy,petrol,5.62,2015,77620,J-2221564E,Smart ForTwo,0,engine_ignition,2016
economy,petrol,2.36,2017,109830,t89744603y,Smart ForFour,1,another_bug,2018
economy,petrol,2.2,2012,22872,R22777636m,Kia Rio X,0,wheel_shake,2022
economy,petrol,4.14,2015,87419,g95201799l,Kia Rio X-line,0,engine_ignition,2020
economy,petrol,4.12,2013,46129,J43552505w,Kia Rio,0,electro_bug,2019
business,petrol,3.92,2014,65659,X69815445k,Mercedes-Benz E200,0,engine_ignition,2017
economy,petrol,3.92,2011,426,Y31463755z,Kia Rio X,0,engine_check,2017
economy,petrol,3.42,2015,90601,b18050488U,Skoda Rapid,0,break_bug,2020
standart,petrol,5.4,2015,87185,C-1846243L,Renault Kaptur,0,electro_bug,2017
standart,petrol,4.7,2013,46648,C-2187827F,Kia Sportage,1,engine_fuel,2019
standart,petrol,4.12,2015,81653,a-6471303K,Renault Sandero,0,engine_ignition,2016
economy,petrol,4.16,2017,132600,u16335953I,VW Tiguan,1,engine_overheat,2019
economy,petrol,4.62,2017,116459,z10378875g,Skoda Rapid,0,gear_stick,2018
economy,petrol,4.36,2011,1439,Z-1478978u,Kia Rio,0,another_bug,2017
economy,petrol,5.72,2013,43256,B-1843237q,VW Tiguan,0,electro_bug,2018
economy,petrol,5.24,2017,124530,u-1774078g,Smart ForFour,0,another_bug,2015
economy,petrol,4.84,2013,38486,I-8201538D,Kia Rio X,0,gear_stick,2019
economy,petrol,4.82,2015,74448,k-7853395L,Kia Rio,0,engine_check,2021
economy,petrol,4.9,2015,71857,H-3154020d,Smart ForFour,0,engine_fuel,2021
economy,petrol,4.46,2011,11754,e13179173i,VW Polo VI,0,engine_ignition,2017
standart,petrol,4.68,2012,24399,v11532085a,Renault Sandero,0,engine_fuel,2017
economy,petrol,5.96,2012,20930,V-9361538G,Kia Rio X-line,2,break_bug,2018
standart,petrol,3.38,2013,43909,C22072062B,Nissan Qashqai,0,engine_ignition,2020
standart,petrol,3.78,2015,86476,E68314843q,Kia Sportage,1,engine_ignition,2018
economy,petrol,3.52,2013,47288,k88534152q,VW Polo,0,wheel_shake,2019
economy,petrol,4.74,2015,79919,o-1004837T,Kia Rio X-line,0,engine_overheat,2022
standart,petrol,4.52,2013,39913,E15850759P,Kia Sportage,0,another_bug,2020
economy,petrol,3.3,2015,72427,S11046237d,VW Polo,0,gear_stick,2015
standart,petrol,4.08,2015,71427,q12920406o,Kia Sportage,1,electro_bug,2017
economy,petrol,5.28,2013,47865,u-1057398c,Smart ForFour,0,engine_ignition,2017
economy,petrol,4.84,2014,75338,i19615927E,VW Tiguan,1,wheel_shake,2017
economy,petrol,4.3,2015,88693,s-3746188l,Smart ForFour,0,break_bug,2015
economy,petrol,1.78,2013,46640,h24674210l,Hyundai Solaris,0,wheel_shake,2016
economy,petrol,2.32,2017,129623,j37934708f,Smart ForFour,0,engine_ignition,2019
business,petrol,5.02,2011,3528,j-1003273K,Mini Cooper,0,another_bug,2022
economy,petrol,3.56,2013,36751,i18120580r,Smart Coupe,0,engine_fuel,2015
economy,petrol,5.52,2017,126000,M-2125716U,Smart ForFour,2,gear_stick,2015
economy,petrol,5.56,2012,21871,A-6734908O,VW Polo,3,engine_check,2016
economy,petrol,4.6,2012,26917,t35781257E,Kia Rio,0,engine_overheat,2021
economy,petrol,3.06,2013,39692,f82085811L,VW Polo,0,engine_check,2016
standart,petrol,5.02,2015,79029,T-1299777v,Kia Sportage,0,electro_bug,2019
economy,petrol,4.9,2017,121088,S-7977049s,VW Tiguan,0,engine_fuel,2019
standart,petrol,4.44,2012,21820,H10411834F,Renault Sandero,0,engine_ignition,2021
economy,petrol,3.7,2015,84312,o29701218V,Kia Rio X,1,electro_bug,2016
standart,petrol,2.82,2015,81505,i21928776j,Kia Sportage,0,gear_stick,2017
standart,petrol,4.08,2013,35273,y11348057n,Renault Sandero,0,engine_check,2022
economy,petrol,4.54,2011,7610,E-1304820y,Kia Rio X-line,0,gear_stick,2015
economy,petrol,4.24,2011,5693,a-1515400J,VW Polo,0,engine_overheat,2018
economy,petrol,3.7,2015,74119,S17262804N,Skoda Rapid,0,wheel_shake,2019
economy,petrol,4.4,2016,115249,W14795073t,Skoda Rapid,0,engine_ignition,2016
economy,petrol,3.8,2017,112276,V56226787D,Smart ForFour,0,engine_fuel,2018
economy,petrol,4.72,2012,22087,u-1594350q,Kia Rio X-line,0,engine_fuel,2018
economy,petrol,4.56,2014,61847,I-9571675o,Kia Rio,0,electro_bug,2018
economy,petrol,6.06,2016,99986,a-1832317K,Skoda Rapid,0,break_bug,2020
business,petrol,5.82,2011,6253,H-9271579x,Mercedes-Benz E200,0,engine_check,2022
economy,petrol,2.78,2016,100271,H15689477U,Smart Coupe,0,another_bug,2019
standart,petrol,5.1,2014,61866,J-8699353u,Nissan Qashqai,0,electro_bug,2015
standart,petrol,5.06,2012,26018,S-6497022N,Nissan Qashqai,0,gear_stick,2016
business,petrol,4.96,2013,39729,j-1145477E,Mercedes-Benz GLC,1,engine_fuel,2021
economy,petrol,3.62,2017,127194,a-7125351Z,VW Tiguan,0,engine_ignition,2020
standart,petrol,3.06,2015,73868,g11521087z,Kia Sportage,0,engine_overheat,2017
economy,petrol,5.0,2012,25439,Q-1114187O,Kia Rio,0,wheel_shake,2020
standart,petrol,4.32,2013,40977,C73458374Q,Kia Sportage,0,engine_check,2015
economy,petrol,4.34,2013,45381,H42487546s,Kia Rio X-line,0,electro_bug,2016
standart,petrol,4.22,2013,46259,f-4873956c,Nissan Qashqai,0,engine_fuel,2015
economy,petrol,5.16,2011,6954,n-2171056h,Kia Rio X-line,1,gear_stick,2015
standart,petrol,4.72,2011,4209,B18328752a,Renault Kaptur,0,break_bug,2022
standart,petrol,4.9,2012,18353,a-1510716r,Renault Kaptur,2,electro_bug,2019
economy,petrol,4.02,2017,123925,G12673775u,VW Tiguan,0,another_bug,2020
economy,petrol,4.24,2017,113201,N-4929388x,VW Tiguan,0,engine_overheat,2021
standart,petrol,4.92,2015,75259,V-1604890W,Renault Sandero,1,gear_stick,2022
business,petrol,4.02,2014,58695,s-1723833v,BMW 320i,0,engine_check,2020
economy,petrol,4.8,2014,57812,o-8858693p,Skoda Rapid,0,break_bug,2022
economy,petrol,4.26,2016,95192,F84870593a,VW Tiguan,0,break_bug,2019
standart,petrol,2.02,2012,19528,j17532274g,Renault Kaptur,0,another_bug,2021
standart,petrol,4.7,2014,75248,N15139629D,Renault Sandero,1,engine_overheat,2018
premium,petrol,6.02,2014,67985,z-3170763V,Audi A4,0,gear_stick,2021
economy,petrol,3.3,2016,88131,l-1283385g,Smart ForFour,2,gear_stick,2019
standart,petrol,4.18,2015,75858,w-2294853S,Kia Sportage,0,another_bug,2018
standart,petrol,5.12,2012,19701,s-2062095H,Renault Sandero,0,gear_stick,2016
economy,petrol,4.2,2015,83400,v13590850L,Kia Rio X,0,engine_ignition,2014
standart,petrol,4.4,2015,87391,N-7018320r,Nissan Qashqai,0,engine_ignition,2019
economy,petrol,4.3,2014,71807,C-8860661H,VW Polo,0,gear_stick,2022
standart,petrol,5.78,2015,93706,e-1657282o,Nissan Qashqai,0,engine_overheat,2017
economy,petrol,5.08,2014,57442,a-1090366N,VW Tiguan,0,engine_overheat,2017
economy,petrol,2.4,2016,94766,X13157100E,Smart Coupe,0,wheel_shake,2016
business,petrol,5.18,2014,67311,h-2273764e,Fiat 500,0,engine_ignition,2021
economy,petrol,4.9,2013,38317,B-2140476J,Smart ForTwo,1,engine_ignition,2019
premium,petrol,4.52,2016,92850,T-1979577d,Audi Q3,0,electro_bug,2022
economy,petrol,4.74,2011,5334,T10443943B,Kia Rio X,1,break_bug,2017
economy,petrol,4.94,2012,24580,p-8263041e,Kia Rio X-line,0,engine_ignition,2015
economy,petrol,4.82,2017,117953,Y-1681893d,Smart Coupe,0,engine_ignition,2014
economy,petrol,4.8,2011,1876,C-7059083l,Kia Rio X-line,2,electro_bug,2017
economy,petrol,4.38,2016,96277,V-2775445H,Smart Coupe,0,electro_bug,2016
economy,petrol,3.88,2011,258,w-1017091K,Kia Rio,0,wheel_shake,2016
economy,petrol,4.7,2014,57558,M-1236720D,Smart ForTwo,0,engine_overheat,2019
economy,petrol,4.08,2014,55325,I-7194770x,Smart ForTwo,0,electro_bug,2015
economy,petrol,5.1,2014,61248,Y-1359331n,Kia Rio,0,engine_check,2016
business,petrol,4.86,2014,63881,m13987388S,Mercedes-Benz E200,0,break_bug,2019
economy,petrol,5.82,2016,102626,J-3845561g,VW Tiguan,1,engine_check,2017
business,petrol,2.8,2014,56406,w17315089Z,Mercedes-Benz GLC,0,gear_stick,2016
business,petrol,5.16,2012,21317,f-1380237E,Mini Cooper,0,electro_bug,2019
economy,petrol,4.28,2012,19784,J-1519931T,Hyundai Solaris,0,break_bug,2017
economy,petrol,3.96,2011,9786,P10499796W,Kia Rio X,1,engine_fuel,2017
economy,petrol,4.7,2013,43382,w-1534281h,VW Tiguan,0,gear_stick,2020
economy,petrol,3.02,2017,130192,q25090977a,Skoda Rapid,0,engine_ignition,2014
economy,petrol,4.32,2013,39955,P14343623p,Skoda Rapid,1,electro_bug,2016
standart,petrol,2.54,2015,81075,S87921938R,Kia Sportage,0,gear_stick,2016
standart,petrol,4.9,2015,84878,Z-2503410m,Renault Sandero,0,break_bug,2016
economy,petrol,4.76,2013,47587,l-1844181l,VW Polo VI,0,engine_check,2019
standart,petrol,3.64,2015,88467,X15138491s,Nissan Qashqai,1,engine_ignition,2022
standart,petrol,3.34,2015,83012,g13957568L,Renault Sandero,2,engine_overheat,2019
economy,petrol,2.96,2013,36650,s12797973g,VW Tiguan,0,wheel_shake,2022
economy,petrol,4.3,2011,3157,R-5598576l,VW Polo,1,engine_overheat,2016
standart,petrol,4.44,2013,38884,n59321309Q,Renault Sandero,0,gear_stick,2018
economy,petrol,4.42,2016,97531,R-1193631X,Smart ForTwo,0,gear_stick,2014
standart,petrol,4.58,2015,77531,S-2166867a,Renault Sandero,0,another_bug,2015
